province_code,province_name,district_code,district_name,district_type
89,An Giang,886,An Phú,Huyện
89,An Giang,884,Châu Đốc,Thành phố
89,An Giang,889,Châu Phú,Huyện
89,An Giang,892,Châu Thành,Huyện
89,An Giang,893,Chợ Mới,Huyện
89,An Giang,883,Long Xuyên,Thành phố
89,An Giang,888,Phú Tân,Huyện
89,An Giang,887,Tân Châu,Thị xã
89,An Giang,894,Thoại Sơn,Huyện
89,An Giang,890,Tịnh Biên,Thị xã
89,An Giang,891,Tri Tôn,Huyện
77,Bà Rịa - Vũng Tàu,748,Bà Rịa,Thành phố
77,Bà Rịa - Vũng Tàu,750,Châu Đức,Huyện
77,Bà Rịa - Vũng Tàu,755,Côn Đảo,Huyện
77,Bà Rịa - Vũng Tàu,753,Long Đất,Huyện
77,Bà Rịa - Vũng Tàu,754,Phú Mỹ,Thành phố
77,Bà Rịa - Vũng Tàu,747,Vũng Tàu,Thành phố
77,Bà Rịa - Vũng Tàu,751,Xuyên Mộc,Huyện
24,Bắc Giang,213,Bắc Giang,Thành phố
24,Bắc Giang,224,Chũ,Thị xã
24,Bắc Giang,223,Hiệp Hòa,Huyện
24,Bắc Giang,217,Lạng Giang,Huyện
24,Bắc Giang,218,Lục Nam,Huyện
24,Bắc Giang,219,Lục Ngạn,Huyện
24,Bắc Giang,220,Sơn Động,Huyện
24,Bắc Giang,216,Tân Yên,Huyện
24,Bắc Giang,222,Thị Xã Việt Yên,Thị xã
24,Bắc Giang,215,Yên Thế,Huyện
06,Bắc Kạn,061,Ba Bể,Huyện
06,Bắc Kạn,058,Bắc Kạn,Thành phố
06,Bắc Kạn,063,Bạch Thông,Huyện
06,Bắc Kạn,064,Chợ Đồn,Huyện
06,Bắc Kạn,065,Chợ Mới,Huyện
06,Bắc Kạn,066,Na Rì,Huyện
06,Bắc Kạn,062,Ngân Sơn,Huyện
06,Bắc Kạn,060,Pác Nặm,Huyện
95,Bạc Liêu,954,Bạc Liêu,Thành phố
95,Bạc Liêu,960,Đông Hải,Huyện
95,Bạc Liêu,959,Giá Rai,Thị xã
95,Bạc Liêu,961,Hoà Bình,Huyện
95,Bạc Liêu,956,Hồng Dân,Huyện
95,Bạc Liêu,957,Phước Long,Huyện
95,Bạc Liêu,958,Vĩnh Lợi,Huyện
27,Bắc Ninh,256,Bắc Ninh,Thành phố
27,Bắc Ninh,263,Gia Bình,Huyện
27,Bắc Ninh,264,Lương Tài,Huyện
27,Bắc Ninh,259,Quế Võ,Thị xã
27,Bắc Ninh,262,Thuận Thành,Thị xã
27,Bắc Ninh,260,Tiên Du,Huyện
