province_code,province_name,province_type
91,An Giang,Tỉnh
24,Bắc Ninh,Tỉnh
96,Cà Mau,Tỉnh
92,Cần Thơ,Thành phố
04,Cao Bằng,Tỉnh
48,Đà Nẵng,Thành phố
66,Đắk Lắk,Tỉnh
11,Điện Biên,Tỉnh
75,Đồng Nai,Tỉnh
82,Đồng Tháp,Tỉnh
52,Gia Lai,Tỉnh
01,Hà Nội,Thành phố
42,Hà Tĩnh,Tỉnh
31,Hải Phòng,Thành phố
79,Hồ Chí Minh,Thành phố
46,Huế,Thành phố
33,Hưng Yên,Tỉnh
56,Khánh Hòa,Tỉnh
12,Lai Châu,Tỉnh
68,Lâm Đồng,Tỉnh
20,Lạng Sơn,Tỉnh
15,Lào Cai,Tỉnh
40,Nghệ An,Tỉnh
37,Ninh Bình,Tỉnh
25,Phú Thọ,Tỉnh
51,Quảng Ngãi,Tỉnh
22,Quảng Ninh,Tỉnh
44,Quảng Trị,Tỉnh
14,Sơn La,Tỉnh
80,Tây Ninh,Tỉnh
19,Thái Nguyên,Tỉnh
38,Thanh Hóa,Tỉnh
08,Tuyên Quang,Tỉnh
86,Vĩnh Long,Tỉnh
