province_code,province_name,ward_code,ward_name,ward_type,full_address
91,An Giang,30985,An Biên,Xã,"Xã An Biên, Tỉnh An Giang"
91,An Giang,30589,An Châu,Xã,"Xã An Châu, Tỉnh An Giang"
91,An Giang,30526,An Cư,Xã,"Xã An Cư, Tỉnh An Giang"
91,An Giang,31018,An Minh,Xã,"Xã An Minh, Tỉnh An Giang"
91,An Giang,30337,An Phú,Xã,"Xã An Phú, Tỉnh An Giang"
91,An Giang,30547,Ba Chúc,Xã,"Xã Ba Chúc, Tỉnh An Giang"
91,An Giang,30898,Bình An,Xã,"Xã Bình An, Tỉnh An Giang"
91,An Giang,30292,Bình Đức,Phường,"Phường Bình Đức, Tỉnh An Giang"
91,An Giang,30826,Bình Giang,Xã,"Xã Bình Giang, Tỉnh An Giang"
91,An Giang,30607,Bình Hòa,Xã,"Xã Bình Hòa, Tỉnh An Giang"
91,An Giang,30487,Bình Mỹ,Xã,"Xã Bình Mỹ, Tỉnh An Giang"
91,An Giang,30823,Bình Sơn,Xã,"Xã Bình Sơn, Tỉnh An Giang"
91,An Giang,30445,Bình Thạnh Đông,Xã,"Xã Bình Thạnh Đông, Tỉnh An Giang"
91,An Giang,30595,Cần Đăng,Xã,"Xã Cần Đăng, Tỉnh An Giang"
91,An Giang,30316,Châu Đốc,Phường,"Phường Châu Đốc, Tỉnh An Giang"
91,An Giang,30403,Châu Phong,Xã,"Xã Châu Phong, Tỉnh An Giang"
91,An Giang,30463,Châu Phú,Xã,"Xã Châu Phú, Tỉnh An Giang"
91,An Giang,30880,Châu Thành,Xã,"Xã Châu Thành, Tỉnh An Giang"
91,An Giang,30505,Chi Lăng,Phường,"Phường Chi Lăng, Tỉnh An Giang"
91,An Giang,30628,Chợ Mới,Xã,"Xã Chợ Mới, Tỉnh An Giang"
91,An Giang,30409,Chợ Vàm,Xã,"Xã Chợ Vàm, Tỉnh An Giang"
91,An Giang,30580,Cô Tô,Xã,"Xã Cô Tô, Tỉnh An Giang"
91,An Giang,30643,Cù Lao Giêng,Xã,"Xã Cù Lao Giêng, Tỉnh An Giang"
91,An Giang,31078,Đặc khu Phú Quốc,Xã,"Xã Đặc khu Phú Quốc, Tỉnh An Giang"
91,An Giang,31105,Đặc khu Thổ Châu,Xã,"Xã Đặc khu Thổ Châu, Tỉnh An Giang"
91,An Giang,30958,Định Hòa,Xã,"Xã Định Hòa, Tỉnh An Giang"
91,An Giang,30709,Định Mỹ,Xã,"Xã Định Mỹ, Tỉnh An Giang"
91,An Giang,31024,Đông Hòa,Xã,"Xã Đông Hòa, Tỉnh An Giang"
91,An Giang,31036,Đông Hưng,Xã,"Xã Đông Hưng, Tỉnh An Giang"
91,An Giang,31006,Đông Thái,Xã,"Xã Đông Thái, Tỉnh An Giang"
91,An Giang,30796,Giang Thành,Xã,"Xã Giang Thành, Tỉnh An Giang"
91,An Giang,30904,Giồng Riềng,Xã,"Xã Giồng Riềng, Tỉnh An Giang"
91,An Giang,30952,Gò Quao,Xã,"Xã Gò Quao, Tỉnh An Giang"
91,An Giang,30769,Hà Tiên,Phường,"Phường Hà Tiên, Tỉnh An Giang"
91,An Giang,30790,Hòa Điền,Xã,"Xã Hòa Điền, Tỉnh An Giang"
91,An Giang,30934,Hòa Hưng,Xã,"Xã Hòa Hưng, Tỉnh An Giang"
91,An Giang,30430,Hòa Lạc,Xã,"Xã Hòa Lạc, Tỉnh An Giang"
91,An Giang,30949,Hòa Thuận,Xã,"Xã Hòa Thuận, Tỉnh An Giang"
91,An Giang,30673,Hội An,Xã,"Xã Hội An, Tỉnh An Giang"
91,An Giang,30817,Hòn Đất,Xã,"Xã Hòn Đất, Tỉnh An Giang"
91,An Giang,30814,Hòn Nghệ,Xã,"Xã Hòn Nghệ, Tỉnh An Giang"
91,An Giang,30341,Khánh Bình,Xã,"Xã Khánh Bình, Tỉnh An Giang"
91,An Giang,31108,Kiên Hải,Xã,"Xã Kiên Hải, Tỉnh An Giang"
91,An Giang,30787,Kiên Lương,Xã,"Xã Kiên Lương, Tỉnh An Giang"
91,An Giang,30631,Long Điền,Xã,"Xã Long Điền, Tỉnh An Giang"
91,An Giang,30664,Long Kiến,Xã,"Xã Long Kiến, Tỉnh An Giang"
91,An Giang,30377,Long Phú,Phường,"Phường Long Phú, Tỉnh An Giang"
91,An Giang,30943,Long Thạnh,Xã,"Xã Long Thạnh, Tỉnh An Giang"
91,An Giang,30307,Long Xuyên,Phường,"Phường Long Xuyên, Tỉnh An Giang"
91,An Giang,30469,Mỹ Đức,Xã,"Xã Mỹ Đức, Tỉnh An Giang"
91,An Giang,30313,Mỹ Hòa Hưng,Xã,"Xã Mỹ Hòa Hưng, Tỉnh An Giang"
91,An Giang,30301,Mỹ Thới,Phường,"Phường Mỹ Thới, Tỉnh An Giang"
91,An Giang,30838,Mỹ Thuận,Xã,"Xã Mỹ Thuận, Tỉnh An Giang"
