province_code,province_name,province_type
89,An Giang,Tỉnh
77,Bà Rịa - Vũng Tàu,Tỉnh
24,Bắc Giang,Tỉnh
06,Bắc Kạn,Tỉnh
95,Bạc Liêu,Tỉnh
27,Bắc Ninh,Tỉnh
83,Bến Tre,Tỉnh
74,Bình Dương,Tỉnh
52,Bình Định,Tỉnh
70,Bình Phước,Tỉnh
60,Bình Thuận,Tỉnh
96,Cà Mau,Tỉnh
92,Cần Thơ,Thành phố
04,Cao Bằng,Tỉnh
48,Đà Nẵng,Thành phố
66,Đắk Lắk,Tỉnh
67,Đắk Nông,Tỉnh
11,Điện Biên,Tỉnh
75,Đồng Nai,Tỉnh
87,Đồng Tháp,Tỉnh
64,Gia Lai,Tỉnh
02,Hà Giang,Tỉnh
35,Hà Nam,Tỉnh
01,Hà Nội,Thành phố
42,Hà Tĩnh,Tỉnh
30,Hải Dương,Tỉnh
31,Hải Phòng,Thành phố
93,Hậu Giang,Tỉnh
79,Hồ Chí Minh,Thành phố
17,Hoà Bình,Tỉnh
33,Hưng Yên,Tỉnh
56,Khánh Hòa,Tỉnh
91,Kiên Giang,Tỉnh
62,Kon Tum,Tỉnh
12,Lai Châu,Tỉnh
68,Lâm Đồng,Tỉnh
20,Lạng Sơn,Tỉnh
10,Lào Cai,Tỉnh
80,Long An,Tỉnh
36,Nam Định,Tỉnh
40,Nghệ An,Tỉnh
37,Ninh Bình,Tỉnh
58,Ninh Thuận,Tỉnh
25,Phú Thọ,Tỉnh
54,Phú Yên,Tỉnh
44,Quảng Bình,Tỉnh
49,Quảng Nam,Tỉnh
51,Quảng Ngãi,Tỉnh
22,Quảng Ninh,Tỉnh
45,Quảng Trị,Tỉnh
94,Sóc Trăng,Tỉnh
14,Sơn La,Tỉnh
72,Tây Ninh,Tỉnh
34,Thái Bình,Tỉnh
19,Thái Nguyên,Tỉnh
38,Thanh Hóa,Tỉnh
46,Thừa Thiên Huế,Tỉnh
82,Tiền Giang,Tỉnh
84,Trà Vinh,Tỉnh
08,Tuyên Quang,Tỉnh
86,Vĩnh Long,Tỉnh
26,Vĩnh Phúc,Tỉnh
15,Yên Bái,Tỉnh
