province_code,province_name,district_code,district_name,ward_code,ward_name,ward_type,full_address
89,An Giang,886,An Phú,30337,An Phú,Thị trấn,"Thị trấn An Phú, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30373,Đa Phước,Thị trấn,"Thị trấn Đa Phước, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30340,Khánh An,Xã,"Xã Khánh An, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30343,Khánh Bình,Xã,"Xã Khánh Bình, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30341,Long Bình,Thị trấn,"Thị trấn Long Bình, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30349,Nhơn Hội,Xã,"Xã Nhơn Hội, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30355,Phú Hội,Xã,"Xã Phú Hội, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30352,Phú Hữu,Xã,"Xã Phú Hữu, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30358,Phước Hưng,Xã,"Xã Phước Hưng, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30346,Quốc Thái,Xã,"Xã Quốc Thái, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30364,Vĩnh Hậu,Xã,"Xã Vĩnh Hậu, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30370,Vĩnh Hội Đông,Xã,"Xã Vĩnh Hội Đông, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30361,Vĩnh Lộc,Xã,"Xã Vĩnh Lộc, Huyện An Phú, Tỉnh An Giang"
89,An Giang,886,An Phú,30367,Vĩnh Trường,Xã,"Xã Vĩnh Trường, Huyện An Phú, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30319,Châu Phú A,Phường,"Phường Châu Phú A, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30316,Châu Phú B,Phường,"Phường Châu Phú B, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30325,Núi Sam,Phường,"Phường Núi Sam, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30334,Vĩnh Châu,Xã,"Xã Vĩnh Châu, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30322,Vĩnh Mỹ,Phường,"Phường Vĩnh Mỹ, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30328,Vĩnh Ngươn,Phường,"Phường Vĩnh Ngươn, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,884,Châu Đốc,30331,Vĩnh Tế,Xã,"Xã Vĩnh Tế, Thành phố Châu Đốc, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30499,Bình Chánh,Xã,"Xã Bình Chánh, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30484,Bình Long,Xã,"Xã Bình Long, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30487,Bình Mỹ,Xã,"Xã Bình Mỹ, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30496,Bình Phú,Xã,"Xã Bình Phú, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30490,Bình Thủy,Xã,"Xã Bình Thủy, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30463,Cái Dầu,Thị trấn,"Thị trấn Cái Dầu, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30493,Đào Hữu Cảnh,Xã,"Xã Đào Hữu Cảnh, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30466,Khánh Hòa,Xã,"Xã Khánh Hòa, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30469,Mỹ Đức,Xã,"Xã Mỹ Đức, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30472,Mỹ Phú,Xã,"Xã Mỹ Phú, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30475,Ô Long Vỹ,Xã,"Xã Ô Long Vỹ, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30481,Thạnh Mỹ Tây,Xã,"Xã Thạnh Mỹ Tây, Huyện Châu Phú, Tỉnh An Giang"
89,An Giang,889,Châu Phú,30478,Vĩnh Thạnh Trung,Thị trấn,"Thị trấn Vĩnh Thạnh Trung, Huyện Châu Phú, Tỉnh An Giang"
