industry,category,skill_name,alias1,alias2,alias3,alias4
XayDung,Quan ly du an xay dung,ky su xay dung,civil engineer,,,
XayDung,Quan ly du an xay dung,ky su cau duong,bridge and road engineer,,,
XayDung,Quan ly du an xay dung,giam sat du an cong trinh,project site supervision,,,
XayDung,Quan ly du an xay dung,ky su an toan lao dong,hse engineer,,,
XayDung,Quan ly du an xay dung,quan ly chat luong cong trinh,construction quality management,,,
XayDung,Quan ly du an xay dung,quan ly thiet bi cong trinh,construction equipment management,,,
XayDung,Quan ly du an xay dung,thu ky cong trinh,site secretary,,,
XayDung,Quan ly du an xay dung,nhan vien vat tu,materials staff,,,
XayDung,Quan ly du an xay dung,ky su hien truong,site engineer,,,
XayDung,Quan ly du an xay dung,ky su dia chat,geotechnical engineer,,,
XayDung,Quan ly du an xay dung,giam sat thi cong noi that,interior fit-out supervision,,,
XayDung,Quan ly du an xay dung,nhan vien trac dac,surveyor,,,
XayDung,Quan ly du an xay dung,quan doc cong trinh,site foreman,,,
XayDung,Quan ly du an xay dung,nhan vien ho so xay dung,construction documentation staff,,,
XayDung,Quan ly du an xay dung,quan ly tien do thi cong,construction progress management,,,
XayDung,Quan ly du an xay dung,lap ho so nghiem thu,acceptance record preparation,,,
XayDung,Quan ly du an xay dung,quan ly an toan cong truong,site safety management,,,
XayDung,Quan ly du an xay dung,lap bien ban nghiem thu,acceptance report preparation,,,
XayDung,Quan ly du an xay dung,quan ly rui ro thi cong,construction risk management,,,
XayDung,Quan ly du an xay dung,doc hieu ho so thau,bidding document interpretation,,,
XayDung,Quan ly du an xay dung,quan ly hop dong xay dung chuyen nghiep,professional construction contract management,,,
XayDung,Quan ly du an xay dung,lap bao cao tien do du an,project progress reporting,,,
XayDung,Quan ly du an xay dung,phoi hop lien nganh thi cong,multi-discipline construction coordination,,,
XayDung,Quan ly du an xay dung,quan ly cong truong,construction site management,,,
XayDung,Quan ly du an xay dung,nghiem thu cong trinh,construction acceptance testing,,,
XayDung,Thiet ke va Kien truc,ky su ket cau cong trinh,structural engineer,,,
XayDung,Thiet ke va Kien truc,ky su he thong dien nhe,elv systems engineer,,,
XayDung,Thiet ke va Kien truc,ky su thiet ke nhom kinh,aluminum glass design engineer,,,
XayDung,Thiet ke va Kien truc,ky su ha tang do thi,urban infrastructure engineer,,,
XayDung,Thiet ke va Kien truc,kien truc su,architect,,,
XayDung,Thiet ke va Kien truc,ky su co dien,mep engineer,,,
XayDung,Thiet ke va Kien truc,thiet ke canh quan,landscape design,,,
XayDung,Thiet ke va Kien truc,ky su hvac,hvac engineer,,,
XayDung,Thiet ke va Kien truc,ky su cap thoat nuoc,water supply drainage engineer,,,
XayDung,Thiet ke va Kien truc,bim engineer,,,,
XayDung,Thiet ke va Kien truc,ky su pccc,fire protection engineer,,,
XayDung,Thiet ke va Kien truc,revit,bim revit,,,
XayDung,Thiet ke va Kien truc,sketchup,,,,
XayDung,Thiet ke va Kien truc,civil 3d,autocad civil 3d,,,
XayDung,Thiet ke va Kien truc,etabs,,,,
XayDung,Thiet ke va Kien truc,safe software,safe,,,
XayDung,Thiet ke va Kien truc,tekla structures,tekla,,,
XayDung,Thiet ke va Kien truc,lumion,,,,
XayDung,Thiet ke va Kien truc,v-ray,vray,,,
XayDung,Thiet ke va Kien truc,thiet ke ket cau thep,steel structure design,,,
XayDung,Cong nhan Xay dung/Cai tao bo sung,nhan vien thi cong,construction execution staff,,,
XayDung,Cong nhan Xay dung/Cai tao bo sung,tho xay dung cai tao,renovation construction worker,,,
XayDung,Cong nhan Xay dung/Cai tao bo sung,thi cong cai tao nha,home renovation execution,,,
XayDung,Cong nhan Xay dung/Cai tao bo sung,lap dat vat lieu cach nhiet,insulation material installation,,,
XayDung,Sales Xay dung bo sung,tu van thiet ke xay dung chuyen nghiep,professional construction design consulting,,,
XayDung,Sales Xay dung bo sung,kinh doanh thiet bi xay dung chuyen dung,specialized construction equipment sales,,,
XayDung,Sales Xay dung bo sung,kinh doanh vat lieu cach am cach nhiet,acoustic thermal insulation material sales,,,
XayDung,Sales Xay dung bo sung,tu van giai phap noi that cong trinh,interior solution consulting for projects,,,
XayDung,Sales Xay dung bo sung,dam phan hop dong cung ung vat lieu xay dung,construction material supply contract negotiation,,,
XayDung,Xay dung khac,chuyen mon xay dung khac,,,,
XayDung,Xay dung khac,quan ly bao hanh cong trinh,construction warranty management,,,
XayDung,Xay dung khac,danh gia hieu qua thi cong,construction performance evaluation,,,
