industry,category,skill_name,alias1,alias2,alias3,alias4
TaiChinhNganHangBaoHiem,Tai chinh,chuyen mon tai chinh,general finance expertise,,,
TaiChinhNganHangBaoHiem,Tai chinh,kiem soat tai chinh,financial control,,,
TaiChinhNganHangBaoHiem,Tai chinh,bao cao tai chinh,financial reporting,,,
TaiChinhNganHangBaoHiem,Tai chinh,huy dong von,fundraising,capital raising,,
TaiChinhNganHangBaoHiem,Tai chinh,hoach dinh tai chinh,financial planning,,,
TaiChinhNganHangBaoHiem,Tai chinh,tu van tai chinh doanh nghiep,corporate financial consulting,,,
TaiChinhNganHangBaoHiem,Tai chinh,dinh che tai chinh,financial institution,,,
TaiChinhNganHangBaoHiem,Tai chinh,giam doc tai chinh,cfo,,,
TaiChinhNganHangBaoHiem,Tai chinh,phan tich bao cao tai chinh,financial statement analysis,,,
TaiChinhNganHangBaoHiem,Tai chinh,lap ngan sach,budgeting,,,
TaiChinhNganHangBaoHiem,Tai chinh,du bao tai chinh,financial forecasting,,,
TaiChinhNganHangBaoHiem,Tai chinh,quan ly dong tien,cash flow management,,,
TaiChinhNganHangBaoHiem,Tai chinh,ifrs,,,,
TaiChinhNganHangBaoHiem,Tai chinh,vas,vietnamese accounting standards,,,
TaiChinhNganHangBaoHiem,Tai chinh,phan tich chi phi,cost analysis,,,
TaiChinhNganHangBaoHiem,Tai chinh,mo hinh tai chinh,financial modeling,,,
TaiChinhNganHangBaoHiem,Tai chinh,excel tai chinh nang cao,advanced financial excel,,,
TaiChinhNganHangBaoHiem,Tai chinh,phan tich ty so tai chinh,financial ratio analysis,,,
TaiChinhNganHangBaoHiem,Tai chinh,quan ly von luu dong,working capital management,,,
TaiChinhNganHangBaoHiem,Ngan hang,giao dich vien,teller,,,
TaiChinhNganHangBaoHiem,Ngan hang,giam doc khoi khach hang ca nhan,retail banking director,,,
TaiChinhNganHangBaoHiem,Ngan hang,giam doc khoi khach hang doanh nghiep,corporate banking director,,,
TaiChinhNganHangBaoHiem,Ngan hang,giam doc khoi nguon von va thi truong,treasury and markets director,,,
TaiChinhNganHangBaoHiem,Ngan hang,giam doc ngan hang,bank director,,,
TaiChinhNganHangBaoHiem,Ngan hang,chuyen vien xu ly no,debt handling specialist,,,
TaiChinhNganHangBaoHiem,Ngan hang,kinh doanh nguon von,treasury funding trading,,,
TaiChinhNganHangBaoHiem,Ngan hang,tai tro thuong mai,trade finance,,,
TaiChinhNganHangBaoHiem,Ngan hang,giam doc kinh doanh bao hiem,bancassurance business director,,,
TaiChinhNganHangBaoHiem,Ngan hang,tac nghiep tin dung,credit operations,,,
TaiChinhNganHangBaoHiem,Ngan hang,swift banking system,swift,,,
TaiChinhNganHangBaoHiem,Ngan hang,core banking operations,,,,
TaiChinhNganHangBaoHiem,Ngan hang,nghiep vu thanh toan quoc te,international settlement operations,,,
TaiChinhNganHangBaoHiem,Ngan hang,nghiep vu tin dung,credit operations knowledge,,,
TaiChinhNganHangBaoHiem,Ngan hang,quan ly khoan vay,loan management,,,
TaiChinhNganHangBaoHiem,Ngan hang,xu ly ho so vay von,loan application processing,,,
TaiChinhNganHangBaoHiem,Ngan hang,nghiep vu ngan quy,treasury cash operations,,,
TaiChinhNganHangBaoHiem,Ngan hang,quan ly the ngan hang,bank card management,,,
TaiChinhNganHangBaoHiem,Ngan hang,ngan hang so,digital banking,,,
TaiChinhNganHangBaoHiem,Ngan hang,mobile banking operations,,,,
TaiChinhNganHangBaoHiem,Ngan hang,internet banking operations,,,,
