industry,category,skill_name,alias1,alias2,alias3,alias4
NhaHangKhachSanDuLich,Nha hang/Dich vu an uong bo sung,bep truong,executive chef,,,
NhaHangKhachSanDuLich,Nha hang/Dich vu an uong bo sung,chuyen gia tham ruou,sommelier,,,
NhaHangKhachSanDuLich,Nha hang/Dich vu an uong bo sung,quan ly nha hang,restaurant manager,,,
NhaHangKhachSanDuLich,Nha hang/Dich vu an uong bo sung,quan ly le tan,front desk manager,,,
NhaHangKhachSanDuLich,Khach san bo sung,quan ly khach san,hotel manager,,,
NhaHangKhachSanDuLich,Khach san bo sung,quan ly homestay,homestay management,,,
NhaHangKhachSanDuLich,Dich vu du lich bo sung,huong dan vien du lich,tour guide,,,
NhaHangKhachSanDuLich,Dich vu du lich bo sung,dieu hanh tour,tour operations,,,
NhaHangKhachSanDuLich,Dich vu du lich bo sung,nhan vien visa,visa processing staff,,,
NhaHangKhachSanDuLich,Dich vu du lich bo sung,thuyet minh vien du lich,tour narrator,docent,,
NhaHangKhachSanDuLich,Dich vu du lich bo sung,quan ly hanh trinh du lich,itinerary management,,,
NhaHangKhachSanDuLich,Nha hang/Khach san/Du lich khac,chuyen mon nha hang khach san du lich khac,,,,
