industry,category,skill_name,alias1,alias2,alias3,alias4
IT,Programming Language,javascript,js,ecmascript,javascript,
IT,Programming Language,typescript,ts,typescript,,
IT,Programming Language,python,python,,,
IT,Programming Language,java,java,,,
IT,Programming Language,golang,go,golang,,
IT,Programming Language,rust,rust,,,
IT,Programming Language,c++,cpp,c++,,,
IT,Programming Language,c#,csharp,c#,,,
IT,Programming Language,php,php,,,
IT,Programming Language,ruby,ruby,,,
IT,Programming Language,swift,swift,,,
IT,Programming Language,kotlin,kotlin,,,
IT,Programming Language,dart,dart,,,
IT,Programming Language,scala,scala,,,
IT,Programming Language,elixir,elixir,,,
IT,Programming Language,haskell,haskell,,,
IT,Programming Language,objective-c,objective c,objc,,
IT,Scripting,bash,shell,bash,,
IT,Scripting,powershell,powershell,,,
IT,Database,sql,sql,,,
IT,Frontend Framework,react,reactjs,react,,
IT,Frontend Framework,vue,vuejs,vue,,
IT,Frontend Framework,angular,angularjs,angular,,
IT,Frontend Framework,next.js,nextjs,next,,
IT,Frontend Framework,nuxt.js,nuxtjs,nuxt,,
IT,Frontend Framework,svelte,svelte,,,
IT,Frontend Framework,solidjs,solid,solidjs,,
IT,Backend Framework,express,expressjs,,,
IT,Backend Framework,nestjs,nest,nestjs,,
IT,Backend Framework,spring,spring,springboot,,
IT,Backend Framework,spring boot,springboot,spring boot,,
IT,Backend Framework,django,django,,,
IT,Backend Framework,flask,flask,,,
IT,Backend Framework,fastapi,fastapi,,,
IT,Backend Framework,laravel,laravel,,,
IT,Backend Framework,symfony,symfony,,,
IT,Backend Framework,rails,ruby on rails,rails,,
IT,Backend Framework,asp.net,aspnet,asp.net core,,
IT,Frontend Framework,blazor,blazor,,,
IT,Desktop Framework,electron,electron,,,
IT,Mobile Framework,react native,reactnative,react native,,
IT,Mobile Framework,flutter,flutter,,,
IT,Mobile Framework,ionic,ionic,,,
IT,AI/ML,tensorflow,tensorflow,,,
IT,AI/ML,pytorch,pytorch,,,
IT,AI/ML,keras,keras,,,
IT,Computer Vision,opencv,opencv,,,
IT,Frontend,html,html5,html,,
IT,Frontend,css,css3,css,,
IT,CSS Preprocessor,sass,scss,sass,,
IT,CSS Preprocessor,less,less,,,
IT,CSS Preprocessor,stylus,stylus,,,
IT,CSS Framework,tailwind,tailwindcss,tailwind,,
IT,CSS Framework,bootstrap,bootstrap,,,
IT,UI Library,material ui,material-ui,mui,,
IT,UI Library,ant design,antd,ant design,,
IT,UI Library,chakra ui,chakra,chakraui,,
IT,UI Library,mantine,mantine,,,
IT,UI Library,semantic ui,semantic-ui,semantic ui,,
IT,State Management,redux,redux,,,
IT,State Management,redux toolkit,rtk,redux toolkit,,
IT,State Management,mobx,mobx,,,
IT,State Management,zustand,zustand,,,
IT,State Management,recoil,recoil,,,
IT,State Management,jotai,jotai,,,
IT,State Management,valtio,valtio,,,
IT,Build Tool,webpack,webpack,,,
IT,Build Tool,vite,vite,,,
IT,Build Tool,parcel,parcel,,,
IT,Build Tool,rollup,rollup,,,
IT,Build Tool,esbuild,esbuild,,,
IT,Build Tool,babel,babel,,,
IT,CSS Tool,postcss,postcss,,,
IT,Code Quality,eslint,eslint,,,
IT,Code Quality,prettier,prettier,,,
IT,Development Tool,storybook,storybook,,,
IT,Data Fetching,react query,react-query,tanstack query,react query
IT,Data Fetching,tanstack query,react query,tanstack query,,
IT,Data Fetching,swr,swr,,,
IT,Form Library,formik,formik,,,
IT,Form Library,react hook form,react-hook-form,rhf,react hook form
IT,HTTP Client,axios,axios,,,
IT,HTTP Client,fetch api,fetch,fetch api,,
IT,Animation,framer motion,framer-motion,framer motion,,
IT,Animation,gsap,gsap,,,
IT,3D Graphics,three.js,threejs,three,,
IT,Web Technology,pwa,progressive web app,pwa,,
IT,Web Technology,service worker,service workers,service worker,,
IT,Communication,websocket,websockets,websocket,,
IT,Internationalization,i18n,internationalization,i18n,,
IT,Internationalization,l10n,localization,l10n,,
IT,Runtime,node.js,nodejs,node,,
IT,Backend Framework,express,expressjs,,,
IT,Backend Framework,nestjs,nest,nestjs,,
IT,Backend Framework,koa,koa,,,
IT,Backend Framework,fastify,fastify,,,
IT,Backend Framework,spring,spring,,,
IT,Backend Framework,spring boot,springboot,spring boot,,
IT,Backend Framework,spring mvc,springmvc,spring mvc,,
IT,Backend Framework,spring security,springsecurity,spring security,,
IT,Backend Framework,django,django,,,
IT,Backend Framework,flask,flask,,,
IT,Backend Framework,fastapi,fastapi,,,
IT,Backend Framework,laravel,laravel,,,
IT,Backend Framework,symfony,symfony,,,
IT,Backend Framework,asp.net,aspnet,asp.net core,,
IT,ORM,entity framework,ef,entityframework,,
IT,Backend Framework,ruby on rails,rails,ruby on rails,,
IT,Backend Framework,gin,gin golang,gin,,
IT,Backend Framework,echo,echo framework,echo,,
IT,ORM,hibernate,hibernate,,,
IT,ORM,jpa,jpa,,,
IT,ORM,typeorm,typeorm,,,
IT,ORM,sequelize,sequelize,,,
IT,ORM,prisma,prisma,,,
IT,API,rest api,rest,restful api,,
IT,API,graphql,graphql,,,
IT,RPC,grpc,grpc,,,
IT,Communication,websocket,websockets,websocket,,
IT,Authentication,oauth2,oauth 2.0,oauth2,,
IT,Authentication,jwt,json web token,jwt,,
IT,Authentication,openid connect,oidc,openid,,
IT,Cache,redis,redis,,,
IT,Cache,memcached,memcached,,,
IT,Message Queue,kafka,apache kafka,kafka,,
IT,Message Queue,rabbitmq,rabbit mq,rabbitmq,,
IT,Message Queue,activemq,active mq,activemq,,
IT,Architecture,microservices,microservices,,,
IT,Architecture,monolith,monolithic,monolith,,
IT,Architecture,event-driven,event driven architecture,event-driven,,
IT,Architecture,cqrs,cqrs,,,
IT,Architecture,event sourcing,event sourcing,,,
IT,Background Processing,cron job,cron,cronjob,,
IT,Background Processing,job queue,queue system,job queue,,
IT,Background Processing,bull,bull queue,bull,,
IT,Background Processing,sidekiq,sidekiq,,,
IT,API Management,api gateway,api gateway,,,
IT,API Management,rate limiting,rate limit,rate limiting,,
IT,System Design,caching,caching,,,
IT,Observability,logging,logging,,,
IT,Observability,monitoring,monitoring,,,
IT,Relational Database,mysql,mysql,,,
IT,Relational Database,postgresql,postgres,postgresql,,
IT,Relational Database,mariadb,mariadb,,,
IT,Relational Database,oracle,oracle db,oracle,,
IT,Relational Database,sql server,mssql,sql server,,
IT,Relational Database,sqlite,sqlite,,,
IT,NoSQL Database,mongodb,mongo,mongodb,,
IT,NoSQL Database,couchdb,couchdb,,,
IT,NoSQL Database,cassandra,apache cassandra,cassandra,,
IT,NoSQL Database,dynamodb,dynamodb,,,
IT,NoSQL Database,cosmos db,cosmosdb,azure cosmos db,,
IT,Cache,redis,redis,,,
IT,Cache,memcached,memcached,,,
IT,Search Engine,elasticsearch,elastic,elasticsearch,,
IT,Search Engine,opensearch,opensearch,,,
IT,Cloud Database,firebase,firebase,,,
IT,Cloud Database,firestore,cloud firestore,firestore,,
IT,Cloud Database,realtime database,firebase realtime db,realtime database,,
IT,NoSQL Database,neo4j,neo4j,,,
IT,NoSQL Database,arangodb,arangodb,,,
IT,Time Series Database,influxdb,influxdb,,,
IT,Time Series Database,timescaledb,timescale,timescaledb,,
IT,Cloud Data Platform,snowflake,snowflake,,,
IT,Cloud Data Platform,bigquery,google bigquery,bigquery,,
IT,Cloud Data Platform,redshift,amazon redshift,redshift,,
IT,NoSQL Database,hbase,hbase,,,
IT,Analytics Database,clickhouse,clickhouse,,,
IT,Database Design,database design,db design,database design,,
IT,Data Modeling,data modeling,data model,data modeling,,
IT,Database Design,schema design,schema design,,,
IT,Database Optimization,indexing,indexes,indexing,,
IT,Database Optimization,query optimization,query tuning,query optimization,,
IT,Database Management,replication,replication,,,
IT,Database Architecture,sharding,sharding,,,
IT,Database Architecture,partitioning,partitioning,,,
IT,Database Management,backup,backup,,,
IT,Database Management,restore,restore,,,
IT,Data Engineering,etl,etl,,,
IT,Data Engineering,data warehousing,data warehouse,data warehousing,,
IT,Data Engineering,data lake,data lake,,,
IT,Database Technology,orm,orm,,,
IT,Database Technology,nosql,nosql,,,
IT,Database Technology,relational database,rdbms,relational database,,
IT,Cloud Platform,aws,amazon web services,aws,,
IT,Cloud Platform,azure,microsoft azure,azure,,
IT,Cloud Platform,gcp,google cloud,gcp,,
IT,Cloud Service,ec2,aws ec2,ec2,,
IT,Cloud Storage,s3,aws s3,s3,,
IT,Cloud Service,lambda,aws lambda,lambda,,
IT,Cloud Database,rds,aws rds,rds,,
IT,CDN,cloudfront,cloudfront,,,
IT,Cloud Database,dynamodb,aws dynamodb,dynamodb,,
IT,Infrastructure,virtual machines,vm,virtual machines,,
IT,Cloud Architecture,serverless,serverless,,,
IT,Containerization,docker,docker,,,
IT,Containerization,docker compose,docker-compose,docker compose,,
IT,Container Orchestration,kubernetes,k8s,kubernetes,,
IT,Container Orchestration,helm,helm,,,
IT,Container Orchestration,openshift,openshift,,,
IT,CI/CD,jenkins,jenkins,,,
IT,CI/CD,github actions,github actions,,,
