industry,category,skill_name,alias1,alias2,alias3,alias4
SanXuat,San xuat - Ky thuat va Thiet ke,ky su ket cau may,machine structure engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su thiet ke co khi,mechanical design engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su lap trinh may,cnc programming engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su quy trinh,process engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su vat lieu,materials engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su tu dong hoa,automation engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su khuon mau,mold design engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su cong nghiep,industrial engineer,ie,,
SanXuat,San xuat - Ky thuat va Thiet ke,ky su co khi,mechanical engineer,,,
SanXuat,San xuat - Ky thuat va Thiet ke,solidworks,,,,
SanXuat,San xuat - Ky thuat va Thiet ke,catia,,,,
SanXuat,San xuat - Ky thuat va Thiet ke,mastercam,,,,
SanXuat,San xuat - Ky thuat va Thiet ke,autodesk inventor,inventor,,,
SanXuat,Hoa chat/Hoa my pham,ky thuat vien phong thi nghiem,lab technician,,,
SanXuat,Hoa chat/Hoa my pham,rd thuc pham do uong,food and beverage r&d,,,
SanXuat,Hoa chat/Hoa my pham,rd my pham,cosmetics r&d,,,
SanXuat,Hoa chat/Hoa my pham,ky su hoa hoc,chemical engineer,,,
SanXuat,Hoa chat/Hoa my pham,phan tich thanh phan hoa hoc,chemical composition analysis,,,
SanXuat,Hoa chat/Hoa my pham,kiem nghiem san pham,product testing,,,
SanXuat,Hoa chat/Hoa my pham,cong thuc hoa my pham,cosmetic formulation,,,
SanXuat,Hoa chat/Hoa my pham,chung nhan haccp,haccp,,,
SanXuat,Hoa chat/Hoa my pham,chung nhan iso 22000,iso 22000,,,
SanXuat,Hoa chat/Hoa my pham,gmp my pham,cosmetics gmp,,,
SanXuat,May mac/Det may/Da,thiet ke rap,pattern making,,,
SanXuat,May mac/Det may/Da,thiet ke vai,fabric design,,,
SanXuat,May mac/Det may/Da,ky thuat cat may,cutting and sewing technique,,,
SanXuat,May mac/Det may/Da,kiem tra chat luong vai,fabric quality inspection,,,
SanXuat,May mac/Det may/Da,thiet ke thoi trang,fashion design,,,
