industry,category,skill_name,alias1,alias2,alias3,alias4
BatDongSan,Quan ly van hanh bat dong san,nhan vien canh quan,landscaping staff,,,
BatDongSan,Quan ly van hanh bat dong san,bao tri pccc,fire protection maintenance,,,
BatDongSan,Quan ly van hanh bat dong san,giam sat bao tri toa nha,building maintenance supervisor,,,
BatDongSan,Quan ly van hanh bat dong san,van hanh toa nha,building operations,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly dich vu toa nha,building service management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly nhan su toa nha,building staff management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly ngan sach van hanh toa nha,building operations budget management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly he thong bms,building management system,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly thang may toa nha,elevator management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly an ninh toa nha,building security management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly ve sinh toa nha,building cleaning management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly cay xanh canh quan,landscape greenery management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly bai do xe,parking management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly phi dich vu chung cu,condo service fee management,,,
BatDongSan,Quan ly van hanh bat dong san,to chuc hoi nghi nha chung cu,condo meeting organizing,,,
BatDongSan,Quan ly van hanh bat dong san,xu ly su co ky thuat toa nha,building technical incident handling,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly hop dong bao tri,maintenance contract management,,,
BatDongSan,Quan ly van hanh bat dong san,chung chi quan ly toa nha,facility management certification,fmc,,
BatDongSan,Quan ly van hanh bat dong san,quan ly nang luong toa nha,building energy management,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly kho vat tu toa nha,building supplies inventory management,,,
BatDongSan,Quan ly van hanh bat dong san,lap ke hoach bao tri dinh ky,preventive maintenance planning,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly nha thau phu,subcontractor management,,,
BatDongSan,Quan ly van hanh bat dong san,dao tao nhan vien van hanh toa nha,building staff training,,,
BatDongSan,Quan ly van hanh bat dong san,xu ly khieu nai cu dan,resident complaint handling,,,
BatDongSan,Quan ly van hanh bat dong san,quan ly quy bao tri chung cu,condo maintenance fund management,,,
BatDongSan,Quy hoach va phat trien bat dong san,quy hoach va thiet ke do thi,urban planning and design,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly du an bat dong san,real estate project management,,,
BatDongSan,Quy hoach va phat trien bat dong san,phat trien mat bang,site development,land development,,
BatDongSan,Quy hoach va phat trien bat dong san,giai phong mat bang,land clearance,,,
BatDongSan,Quy hoach va phat trien bat dong san,dau thau bat dong san,real estate bidding,,,
BatDongSan,Quy hoach va phat trien bat dong san,quy hoach bat dong san,real estate planning,,,
BatDongSan,Quy hoach va phat trien bat dong san,tham dinh gia bat dong san du an,real estate project valuation,,,
BatDongSan,Quy hoach va phat trien bat dong san,phat trien du an nghi duong,resort project development,,,
BatDongSan,Quy hoach va phat trien bat dong san,phat trien du an nha o xa hoi,social housing project development,,,
BatDongSan,Quy hoach va phat trien bat dong san,lap ke hoach phat trien du an,project development planning,,,
BatDongSan,Quy hoach va phat trien bat dong san,phan tich kha thi du an bat dong san,feasibility analysis,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly tien do du an xay dung,construction project timeline management,,,
BatDongSan,Quy hoach va phat trien bat dong san,lam viec voi co quan quy hoach,working with planning authorities,,,
BatDongSan,Quy hoach va phat trien bat dong san,xin giay phep xay dung,construction permit application,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly hop dong nha thau,contractor management,,,
BatDongSan,Quy hoach va phat trien bat dong san,gis cho quy hoach do thi,gis for urban planning,,,
BatDongSan,Quy hoach va phat trien bat dong san,phan tich thi truong bat dong san,real estate market analysis,,,
BatDongSan,Quy hoach va phat trien bat dong san,danh gia tiem nang dau tu du an,investment potential assessment,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly quy dat du an,project land bank management,,,
BatDongSan,Quy hoach va phat trien bat dong san,lap bao cao danh gia tac dong moi truong,environmental impact assessment report,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly rui ro phap ly du an,project legal risk management,,,
BatDongSan,Quy hoach va phat trien bat dong san,phoi hop don vi thiet ke,coordination with design consultants,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly chat luong xay dung,construction quality management,,,
BatDongSan,Quy hoach va phat trien bat dong san,lap tien do thi cong,construction schedule planning,,,
BatDongSan,Quy hoach va phat trien bat dong san,quan ly von dau tu du an,project investment capital management,,,
BatDongSan,Sales Bat dong san bo sung,moi gioi bat dong san thuong mai,commercial real estate brokerage,,,
BatDongSan,Sales Bat dong san bo sung,moi gioi van phong cho thue,office leasing brokerage,,,
BatDongSan,Sales Bat dong san bo sung,tu van cho thue bat dong san,rental consulting,,,
BatDongSan,Sales Bat dong san bo sung,dam phan hop dong thue nha,lease negotiation,,,
BatDongSan,Sales Bat dong san bo sung,quan ly danh muc bat dong san khach hang,client property portfolio management,,,
BatDongSan,Sales Bat dong san bo sung,ban hang du an bat dong san,project sales,,,
BatDongSan,Sales Bat dong san bo sung,to chuc su kien mo ban,project launch event organizing,,,
BatDongSan,Sales Bat dong san bo sung,quan ly kenh phan phoi du an bds,project distribution channel management,,,
BatDongSan,Sales Bat dong san bo sung,dao tao doi ngu sales bds,real estate sales team training,,,
BatDongSan,Bat dong san khac,chuyen mon bat dong san khac,,,,
BatDongSan,Bat dong san khac,quan ly quy dau tu bat dong san,reit management,,,
BatDongSan,Bat dong san khac,phan tich rui ro dau tu bat dong san,real estate investment risk analysis,,,
BatDongSan,Bat dong san khac,tu van phap ly bat dong san,real estate legal consulting,,,
BatDongSan,Bat dong san khac,quan ly tai san bat dong san cho thue,rental property asset management,,,
BatDongSan,Bat dong san khac,quan ly danh gia hieu qua dau tu bds,real estate investment performance evaluation,,,
