industry,category,skill_name,alias1,alias2,alias3,alias4
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan tong hop,general accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan noi bo,internal accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan chi phi,cost accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan gia thanh,product costing,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan tai chinh,financial accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan mua hang,purchasing accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan tien luong,payroll accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan cong trinh,construction project accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan xuat nhap khau,import export accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan thue,tax accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan doanh thu,revenue accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan dau tu,investment accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan cong no,accounts receivable payable accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan ban hang,sales accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan tai san co dinh,fixed asset accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan thanh toan,payment accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan quan tri,management accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan san xuat,production accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan ngan hang,banking accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan kho,inventory accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan nguyen vat lieu,raw material accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan truong,chief accountant,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,ke toan du an,project accounting,,,
KeToanKiemToanThue,Ke toan - Chuyen mon,thu quy,cashier treasurer,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,but toan,journal entry,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,doi chieu cong no,debt reconciliation,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,khoa so ke toan,closing the books,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,kiem ke tai san,asset inventory check,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,quan ly hoa don,invoice management,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,hoa don dien tu,e-invoice,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,thong tu 200,,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,thong tu 133,,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,lap bao cao tai chinh nam,annual financial statement preparation,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,quyet toan nam,annual finalization,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,hach toan ke toan,accounting recording,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,lap bang can doi ke toan,balance sheet preparation,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,lap bao cao luu chuyen tien te,cash flow statement preparation,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,phan tich chenh lech ty gia,fx difference analysis,,,
KeToanKiemToanThue,Nghiep vu ke toan chung,quan ly tai khoan ke toan,chart of accounts management,,,
KeToanKiemToanThue,Phan mem ke toan,misa,,,,
KeToanKiemToanThue,Phan mem ke toan,fast accounting,fast,,,
KeToanKiemToanThue,Phan mem ke toan,sap fico,,,,
KeToanKiemToanThue,Phan mem ke toan,oracle financials,,,,
KeToanKiemToanThue,Phan mem ke toan,quickbooks,,,,
KeToanKiemToanThue,Phan mem ke toan,xero,,,,
KeToanKiemToanThue,Phan mem ke toan,bravo,,,,
KeToanKiemToanThue,Phan mem ke toan,effect,,,,
KeToanKiemToanThue,Phan mem ke toan,3tsoft,,,,
KeToanKiemToanThue,Phan mem ke toan,hoa don dien tu viettel,,,,
KeToanKiemToanThue,Phan mem ke toan,hoa don dien tu vnpt,,,,
KeToanKiemToanThue,Phan mem ke toan,phan mem ke khai thue htkk,htkk,,,
KeToanKiemToanThue,Kiem toan,kiem toan vien,auditor,,,
KeToanKiemToanThue,Kiem toan,truong nhom kiem toan,audit team leader,,,
KeToanKiemToanThue,Kiem toan,kiem toan doc lap,independent audit,,,
KeToanKiemToanThue,Kiem toan,chuan muc kiem toan,auditing standards,,,
KeToanKiemToanThue,Kiem toan,quy trinh kiem toan,audit process,,,
KeToanKiemToanThue,Kiem toan,lap bao cao kiem toan,audit report preparation,,,
KeToanKiemToanThue,Kiem toan,thu thap bang chung kiem toan,audit evidence collection,,,
KeToanKiemToanThue,Kiem toan,danh gia kiem soat noi bo,internal control assessment,,,
KeToanKiemToanThue,Kiem toan,isa,international standards on auditing,,,
KeToanKiemToanThue,Kiem toan,gaas,generally accepted auditing standards,,,
KeToanKiemToanThue,Kiem toan,kiem toan bctc,financial statement audit,,,
KeToanKiemToanThue,Thue,chuyen vien thue,tax specialist,,,
KeToanKiemToanThue,Thue,ke khai thue,tax declaration,,,
KeToanKiemToanThue,Thue,quyet toan thue,tax finalization,,,
KeToanKiemToanThue,Thue,thue gtgt,vat,,,
KeToanKiemToanThue,Thue,thue tncn,personal income tax,,,
KeToanKiemToanThue,Thue,thue tndn,corporate income tax,,,
KeToanKiemToanThue,Thue,thue xuat nhap khau,import export tax,,,
KeToanKiemToanThue,Thue,hoan thue,tax refund,,,
KeToanKiemToanThue,Thue,thanh tra thue,tax inspection,,,
KeToanKiemToanThue,Thue,lap bao cao thue,tax reporting,,,
KeToanKiemToanThue,Thue,tu van thue,tax consulting,,,
KeToanKiemToanThue,Thue,chuyen gia (transfer pricing),transfer pricing,dinh gia chuyen giao,,
KeToanKiemToanThue,Thue,luat thue,tax law,,,
KeToanKiemToanThue,Thue,ke hoach thue,tax planning,,,
KeToanKiemToanThue,Thue,thue nha thau,contractor withholding tax,,,
KeToanKiemToanThue,Ke toan/Kiem toan/Thue khac,chuyen mon ke toan kiem toan thue khac,,,,
KeToanKiemToanThue,Ke toan/Kiem toan/Thue khac,chung chi ke toan truong,chief accountant certification,,,
KeToanKiemToanThue,Ke toan/Kiem toan/Thue khac,chung chi hanh nghe kiem toan,auditor practicing certificate,,,
