industry,category,skill_name,alias1,alias2,alias3,alias4
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,ui/ux design,ui ux design,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,3d modeler,,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,graphic design,thiet ke do hoa,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,thiet ke layout,layout design,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,ly thuyet mau sac,color theory,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,wireframing,,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,thiet ke prototype,prototyping,,,
ThietKe,Thiet ke Do hoa/Giao dien/Trai nghiem,xay dung design system,design system,,,
ThietKe,Thiet ke Nha/Noi that/Moi truong,thiet ke trien lam trung bay,exhibition display design,,,
ThietKe,Thiet ke Cong nghiep,thiet ke san pham noi that,furniture product design,,,
ThietKe,Thiet ke Cong nghiep,thiet ke do trang suc,jewelry design,,,
ThietKe,Thiet ke Cong nghiep,ve ky thuat,technical drawing,,,
ThietKe,Nghe thuat/Hoat hinh/Game,hoa si truyen tranh,comic artist,,,
ThietKe,Nghe thuat/Hoat hinh/Game,game design,,,,
ThietKe,Nghe thuat/Hoat hinh/Game,rigging 3d,rigging,,,
ThietKe,Nghe thuat/Hoat hinh/Game,texturing 3d,texturing,,,
ThietKe,Nghe thuat/Hoat hinh/Game,sculpting 3d,sculpting,,,
ThietKe,Nghe thuat/Hoat hinh/Game,thiet ke hoat hinh 2d,2d animation,,,
ThietKe,Nghe thuat/Hoat hinh/Game,thiet ke hoat hinh 3d,3d animation,,,
ThietKe,Nghe thuat/Hoat hinh/Game,thiet ke nhan vat,character design,,,
ThietKe,Nghe thuat/Hoat hinh/Game,thiet ke moi truong game,environment design,,,
ThietKe,Nghe thuat/Hoat hinh/Game,rendering 3d,rendering,,,
ThietKe,Nghien cuu nguoi dung,nghien cuu nguoi dung,ux research,user research,,
ThietKe,Nghien cuu nguoi dung,xay dung ux persona,user persona,,,
ThietKe,Nghien cuu nguoi dung,phong van nguoi dung,user interview,,,
ThietKe,Nghien cuu nguoi dung,kien truc thong tin,information architecture,,,
ThietKe,Nghien cuu nguoi dung,thiet ke kha tiep can,accessibility design,,,
ThietKe,Nghien cuu nguoi dung,design thinking,,,,
ThietKe,Quan ly thiet ke,quan ly giam sat thiet ke,design supervision,,,
ThietKe,Quan ly thiet ke,giam doc dao dien thiet ke,design director,,,
ThietKe,Quan ly thiet ke,giam doc thiet ke hinh anh,visual design director,,,
ThietKe,Quan ly thiet ke,quan ly thiet ke khac,,,,
ThietKe,Thiet ke khac,chuyen mon thiet ke khac,,,,
