industry,category,skill_name,alias1,alias2,alias3,alias4
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien mam non,preschool teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giang vien thinh giang,visiting lecturer,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tin hoc,it teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng anh,english teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng trung,chinese teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien giao duc som,early childhood education teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng viet ngu van,vietnamese literature teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng han,korean teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieu hoc,primary school teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien toan,math teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien giao duc the chat,physical education teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng nhat,japanese teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien tieng duc,german teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,gia su van,literature tutor,,,
GiaoDucDaoTao,Giao vien theo mon hoc,gia su toan,math tutor,,,
GiaoDucDaoTao,Giao vien theo mon hoc,gia su tieng anh,english tutor,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien ielts,,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien toeic,,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giang vien cong nghe thong tin,it lecturer,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien bo mon khac,,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien ngoai ngu khac,,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien vat ly,physics teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien hoa hoc,chemistry teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien sinh hoc,biology teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien lich su,history teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,giao vien dia ly,geography teacher,,,
GiaoDucDaoTao,Giao vien theo mon hoc,gia su tieng trung,chinese tutor,,,
GiaoDucDaoTao,Giao vien theo mon hoc,gia su tieng nhat,japanese tutor,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,soan giao an,lesson planning,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,phuong phap giang day,teaching methodology,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,quan ly lop hoc,classroom management,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,danh gia hoc sinh,student assessment,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,chung chi nghiep vu su pham,pedagogy certification,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,tesol,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,tefl,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,celta,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,montessori,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,reggio emilia,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,thiet ke bai giang e-learning,e-learning course design,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,google classroom,,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,zoom day hoc truc tuyen,online teaching via zoom,,,
GiaoDucDaoTao,Phuong phap va nghiep vu su pham,xay dung chuong trinh giang day,curriculum development,,,
GiaoDucDaoTao,Van hoa/Nghe thuat/Khoa hoc,giao vien my thuat,fine art teacher,,,
GiaoDucDaoTao,Van hoa/Nghe thuat/Khoa hoc,giao vien day choi co,chess teacher,,,
GiaoDucDaoTao,Van hoa/Nghe thuat/Khoa hoc,giao vien steam,giao vien stem,,,
GiaoDucDaoTao,Van hoa/Nghe thuat/Khoa hoc,giao vien am nhac,music teacher,,,
GiaoDucDaoTao,Van hoa/Nghe thuat/Khoa hoc,giao vien day nhay mua,dance teacher,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien the hinh,personal trainer,pt,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien yoga,yoga instructor,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien truot patin,skating coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien bong da,football coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien quyen anh,boxing coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien bong ro,basketball coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien boi loi,swimming coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien bong ban,table tennis coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien cau long,badminton coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien bi-a,billiards coach,,,
GiaoDucDaoTao,The chat/The hinh,huan luyen vien vo thuat,martial arts coach,,,
GiaoDucDaoTao,Quan ly giao duc,quan ly hoc vu,academic affairs management,,,
GiaoDucDaoTao,Quan ly giao duc,chuyen vien dieu phoi giao vien,teacher coordination specialist,,,
GiaoDucDaoTao,Quan ly giao duc,hieu truong pho hieu truong,principal vice principal,,,
GiaoDucDaoTao,Quan ly giao duc,quan ly chat luong giao duc,education quality management,,,
GiaoDucDaoTao,Quan ly giao duc,giao vien chu nhiem,homeroom teacher,,,
GiaoDucDaoTao,Quan ly giao duc,quan ly giang day,teaching management,,,
GiaoDucDaoTao,Tro giang,tro giang tieng anh,english teaching assistant,,,
GiaoDucDaoTao,Tro giang,tro giang tieng han,korean teaching assistant,,,
GiaoDucDaoTao,Tro giang,tro giang bo mon khac,,,,
GiaoDucDaoTao,Tro giang,tro giang tieng trung,chinese teaching assistant,,,
GiaoDucDaoTao,Tro giang,tro giang tieng duc,german teaching assistant,,,
GiaoDucDaoTao,Tro giang,tro giang tieng nhat,japanese teaching assistant,,,
GiaoDucDaoTao,Tro giang,tro giang ngoai ngu khac,,,,
GiaoDucDaoTao,Quan ly/Ho tro lop hoc,quan ly van hanh lop hoc,classroom operations management,,,
GiaoDucDaoTao,Quan ly/Ho tro lop hoc,ho tro lop hoc,classroom support,,,
GiaoDucDaoTao,Quan ly/Ho tro lop hoc,cham soc ho tro hoc vien,student care and support,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,giao vien day lai xe o to,driving instructor,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,giao vien day cam hoa,flower arrangement teacher,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,phat trien hoc lieu thiet ke khoa hoc,instructional material development,course design,,
GiaoDucDaoTao,Giao duc/Dao tao khac,giao vien day nghe,vocational teacher,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,giao vien day nau an,cooking teacher,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,co van hoc tap,academic advisor,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,tu van tam ly hoc duong,school psychology counseling,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,giao vien giao duc dac biet,special education teacher,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,thu thu,librarian,,,
GiaoDucDaoTao,Giao duc/Dao tao khac,danh gia va kiem dinh chat luong dao tao,education quality accreditation,,,
