industry,category,skill_name,alias1,alias2,alias3,alias4
DienDienTuVienThong,Dien/Tu dong hoa,ky su thiet ke dien,electrical design engineer,,,
DienDienTuVienThong,Dien/Tu dong hoa,ky su lap trinh plc scada,plc scada programming engineer,,,
DienDienTuVienThong,Dien/Tu dong hoa,ky su dien,electrical engineer,,,
DienDienTuVienThong,Dien/Tu dong hoa,ky su robot,robotics engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,thiet ke mach dien vi mach,circuit and ic design,,,
DienDienTuVienThong,Dien tu/Phan cung,sua chua bao tri dien tu vien thong,electronics telecom repair maintenance,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su phat trien driver,driver development engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,phat trien dsp,dsp development,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su phan cung,hardware engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,tich hop he thong,system integration,,,
DienDienTuVienThong,Dien tu/Phan cung,ky thuat dien dien tu,electrical electronics technique,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su dien tu,electronics engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,embedded engineer,lap trinh nhung,,,
DienDienTuVienThong,Dien tu/Phan cung,phat trien fpga,fpga development,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su rf,rf engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,phat trien arm,arm development,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su pcb,pcb engineer,,,
DienDienTuVienThong,Dien tu/Phan cung,ky su quang hoc,optical engineer,,,
DienDienTuVienThong,Nhiet/Gio/Dieu hoa,ky su nhiet lanh,thermal refrigeration engineer,,,
DienDienTuVienThong,Nhiet/Gio/Dieu hoa,ky su dien lanh,refrigeration and ac engineer,,,
DienDienTuVienThong,Chat ban dan/Chip,thiet ke vi mach ic,ic design,,,
DienDienTuVienThong,Chat ban dan/Chip,chip test engineer,,,,
DienDienTuVienThong,Chat ban dan/Chip,back-end engineer chip,ic back-end engineer,,,
DienDienTuVienThong,Chat ban dan/Chip,ky su kiem dinh ic,ic verification engineer,,,
DienDienTuVienThong,Chat ban dan/Chip,dft engineer,,,,
DienDienTuVienThong,Chat ban dan/Chip,analog ic design engineer,,,,
DienDienTuVienThong,Chat ban dan/Chip,fae,field application engineer,,,
DienDienTuVienThong,Chat ban dan/Chip,analog layout design engineer,,,,
DienDienTuVienThong,Chat ban dan/Chip,digital front-end designer,,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an dien,electrical project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,chuyen vien du an ky thuat,technical project specialist,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,ky su phan tich yeu cau,requirements analysis engineer,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an vien thong,telecom project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an nang luong tai tao,renewable energy project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an ky thuat,technical project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,ky su trien khai,deployment engineer,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an phan cung,hardware project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,quan ly du an he thong tu dong hoa,automation system project management,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,tro ly du an ky thuat,technical project assistant,,,
DienDienTuVienThong,Quan ly/Van hanh du an ky thuat,tu van trien khai,implementation consulting,,,
DienDienTuVienThong,Vien thong,ky su dien tu vien thong,electronics telecom engineer,,,
DienDienTuVienThong,Vien thong,ky su nghien cuu phat trien vien thong,telecom r&d engineer,,,
DienDienTuVienThong,Vien thong,ky su truyen thong khong day,wireless rf communication engineer,,,
DienDienTuVienThong,Vien thong,ky su mang vien thong,telecom network engineer,,,
DienDienTuVienThong,Vien thong,ky su kiem thu vien thong,telecom testing engineer,,,
DienDienTuVienThong,Vien thong,ky su dien vien thong,electrical telecom engineer,,,
DienDienTuVienThong,Vien thong,ky su thiet bi vien thong,telecom equipment engineer,,,
DienDienTuVienThong,Vien thong,ky thuat vien thong,telecom technique,,,
DienDienTuVienThong,Vien thong,ky su iot,iot engineer,,,
DienDienTuVienThong,Vien thong,ky su mang quang,optical network engineer,,,
DienDienTuVienThong,Vien thong,ky su truyen thong di dong,mobile communication engineer,,,
DienDienTuVienThong,Vien thong,ky su truyen thong du lieu,data communication engineer,,,
DienDienTuVienThong,Vien thong,ky su truyen thong quang hoc,optical communication engineer,,,
DienDienTuVienThong,Vien thong,ky su truyen dan cap,cable transmission engineer,,,
DienDienTuVienThong,Vien thong,ky su mang loi,core network engineer,,,
DienDienTuVienThong,Vien thong,ky su tieu chuan hoa vien thong,telecom standardization engineer,,,
DienDienTuVienThong,Vien thong,ky su mang,network engineer,,,
DienDienTuVienThong,Van hanh va bao tri/Ho tro ky thuat,ky su tai lieu ky thuat,technical documentation engineer,,,
DienDienTuVienThong,Van hanh va bao tri/Ho tro ky thuat,ky su he thong,systems engineer,,,
DienDienTuVienThong,Van hanh va bao tri/Ho tro ky thuat,van hanh dien,electrical operations,,,
DienDienTuVienThong,Dien/Dien tu/Vien thong khac,chuyen mon dien dien tu vien thong khac,,,,
