industry,category,skill_name,alias1,alias2,alias3,alias4
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su dien mat troi,solar power engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su nang luong,energy engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su thuy loi,irrigation engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su nang luong tai tao,renewable energy engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su dien gio,wind power engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,ky su thuy dien,hydropower engineer,,,
NangLuongMoiTruongNongNghiep,Nang luong/Dia chat,chuyen mon nang luong dia chat khac,,,,
NangLuongMoiTruongNongNghiep,An toan lao dong/Moi truong,van hanh he thong xu ly nuoc thai,wastewater treatment system operation,,,
NangLuongMoiTruongNongNghiep,An toan lao dong/Moi truong,ky su moi truong,environmental engineer,,,
NangLuongMoiTruongNongNghiep,An toan lao dong/Moi truong,quan ly chat thai,waste management,,,
NangLuongMoiTruongNongNghiep,An toan lao dong/Moi truong,xu ly khi thai,air emission treatment,,,
NangLuongMoiTruongNongNghiep,An toan lao dong/Moi truong,kiem soat o nhiem,pollution control,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,ky su lam nghiep,forestry engineer,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,ky thuat vien nong nghiep trong trot,agricultural technician,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,kiem lam,forest ranger,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,nuoi trong thuy san,aquaculture,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,ky thuat vien thuy san,fishery technician,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,ky su nong nghiep cong nghe cao,high-tech agriculture engineer,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,trong trot huu co,organic farming,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,quan ly trang trai,farm management,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,bao ve thuc vat,plant protection,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,giong cay trong,plant breeding,,,
NangLuongMoiTruongNongNghiep,Nong/Lam/Ngu nghiep,chuyen mon nong lam ngu nghiep khac,,,,
NangLuongMoiTruongNongNghiep,Nang luong/Moi truong/Nong nghiep khac,chuyen mon nang luong moi truong nong nghiep khac,,,,
