industry,category,skill_name,alias1,alias2,alias3,alias4
HR_Admin_Legal,Nhan su - Tuyen dung,tuyen dung,recruitment,,,
HR_Admin_Legal,Nhan su - Tuyen dung,sourcing ung vien,candidate sourcing,,,
HR_Admin_Legal,Nhan su - Tuyen dung,phong van tuyen dung,interviewing,,,
HR_Admin_Legal,Nhan su - Tuyen dung,employer branding,,,,
HR_Admin_Legal,Nhan su - Tuyen dung,linkedin recruiter,,,,
HR_Admin_Legal,Nhan su - Tuyen dung,ats,applicant tracking system,,,
HR_Admin_Legal,Nhan su - Tuyen dung,boolean search,,,,
HR_Admin_Legal,Nhan su - Tuyen dung,headhunting,,,,
HR_Admin_Legal,Nhan su - Tuyen dung,tuyen dung it,technical recruiting,,,
HR_Admin_Legal,Nhan su - Tuyen dung,tuyen dung cap cao,executive search,,,
HR_Admin_Legal,Nhan su - Tuyen dung,onboarding,,,,
HR_Admin_Legal,Nhan su - Tuyen dung,xay dung thuong hieu nha tuyen dung,employer branding strategy,,,
HR_Admin_Legal,Nhan su - Tuyen dung,quan ly kenh tuyen dung,recruitment channel management,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,phat trien to chuc,organization development,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,thiet ke co cau to chuc,org structure design,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,van hoa doanh nghiep,corporate culture,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,chuyen vien phat trien van hoa doanh nghiep,,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,employee engagement,gan ket nhan vien,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,hrbp,hr business partner,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,truyen thong noi bo,internal communication,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,quan ly thay doi,change management,,,
HR_Admin_Legal,Nhan su - Phat trien to chuc & Van hoa,xay dung gia tri cot loi,core values development,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,dao tao,training,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,xay dung chuong trinh dao tao,training program development,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,tna,training needs analysis,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,lms,learning management system,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,coaching,,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,mentoring,,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,quan ly nhan tai,talent management,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,ke hoach ke nhiem,succession planning,,,
HR_Admin_Legal,Nhan su - Dao tao & Phat trien,thiet ke lo trinh phat trien nghe nghiep,career path design,,,
