industry,category,skill_name,alias1,alias2,alias3,alias4
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,giam doc logistics,logistics director,,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,nhan vien hien truong logistics,logistics field staff,,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,quan ly he thong van tai,tms,transportation management system,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,theo doi don hang logistics,logistics order tracking,,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,giam sat dieu phoi hang hoa va kho van,goods and warehouse coordination supervision,,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,chuyen mon xuat nhap khau logistics,,,,
LogisticsThuMuaKhoVanTai,Xuat nhap khau/Logistics chuyen sau,dieu phoi logistics quoc te,international logistics coordination,,,
LogisticsThuMuaKhoVanTai,Van tai,giam sat dieu phoi van tai,transport coordination supervision,,,
LogisticsThuMuaKhoVanTai,Van tai,dich vu van tai khac,,,,
LogisticsThuMuaKhoVanTai,Van tai,quan ly doi xe,fleet management,,,
LogisticsThuMuaKhoVanTai,Van tai,toi uu hoa tuyen duong van chuyen,route optimization,,,
LogisticsThuMuaKhoVanTai,Giao nhan,quan ly tram giao nhan buu cuc,delivery station post office management,,,
LogisticsThuMuaKhoVanTai,Giao nhan,dich vu giao nhan khac,,,,
LogisticsThuMuaKhoVanTai,Giao nhan,dieu phoi giao hang,delivery coordination,,,
LogisticsThuMuaKhoVanTai,Giao nhan,freight forwarder,,,,
LogisticsThuMuaKhoVanTai,Giao nhan,quan ly hieu suat giao hang,delivery performance management,,,
LogisticsThuMuaKhoVanTai,Giao nhan,toi uu chi phi giao nhan,delivery cost optimization,,,
LogisticsThuMuaKhoVanTai,Kho van,hanh chinh kho,warehouse administration,,,
LogisticsThuMuaKhoVanTai,Kho van,truong kho giam sat kho,warehouse supervisor,,,
LogisticsThuMuaKhoVanTai,Kho van,chuyen mon kho van khac,,,,
LogisticsThuMuaKhoVanTai,Kho van,wms,warehouse management system,,,
LogisticsThuMuaKhoVanTai,Kho van,toi uu hoa bo tri kho,warehouse layout optimization,,,
LogisticsThuMuaKhoVanTai,Kho van,quan ly kho lanh,cold storage management,,,
LogisticsThuMuaKhoVanTai,Kho van,fifo fefo inventory,fifo fefo,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,chuyen mon thu mua mua hang,,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,giam doc thu mua mua hang,procurement director,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,chuyen vien ho so thau,bid documentation specialist,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,khai bao hai quan va kiem dich,customs declaration and quarantine,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,quan ly giam sat mua hang,procurement supervision,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,dieu phoi hang hoa,goods coordination,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,quan ly hang hoa merchandiser,merchandiser,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,chien luoc mua hang,strategic sourcing,,,
LogisticsThuMuaKhoVanTai,Thu mua/Mua hang,quan ly ngan sach mua hang,procurement budget management,,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,chuyen mon chuoi cung ung,,,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,giam doc chuoi cung ung,supply chain director,,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,quan ly giam sat chuoi cung ung,supply chain supervision,,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,quan ly san xuat nguyen vat lieu,pmc,production material control,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,lap ke hoach chuoi cung ung,supply chain planning,,,
LogisticsThuMuaKhoVanTai,Chuoi cung ung,phan tich du lieu chuoi cung ung,supply chain data analytics,,,
LogisticsThuMuaKhoVanTai,Logistics khac,viec lam kho van giao hang khac,,,,
LogisticsThuMuaKhoVanTai,Logistics khac,quan ly rui ro chuoi cung ung,supply chain risk management,,,
