industry,category,skill_name,alias1,alias2,alias3,alias4
Marketing,Digital Marketing Tool,google ads,,,,
Marketing,Digital Marketing Tool,facebook ads,meta ads,,,
Marketing,Digital Marketing Tool,tiktok ads,,,,
Marketing,Digital Marketing Tool,linkedin ads,,,,
Marketing,Digital Marketing Tool,zalo ads,,,,
Marketing,Digital Marketing Tool,google tag manager,gtm,,,
Marketing,Digital Marketing Tool,google search console,gsc,,,
Marketing,Digital Marketing Tool,google data studio,looker studio,,,
Marketing,Digital Marketing Tool,google keyword planner,,,,
Marketing,Digital Marketing Tool,google my business,google business profile,,,
Marketing,Digital Marketing Tool,bing ads,microsoft ads,,,
Marketing,Digital Marketing Tool,criteo,,,,
Marketing,Digital Marketing Tool,taboola,,,,
Marketing,Digital Marketing Tool,outbrain,,,,
Marketing,Digital Marketing Tool,salesforce marketing cloud,,,,
Marketing,Digital Marketing Tool,adobe marketing cloud,,,,
Marketing,Digital Marketing Tool,mailchimp,,,,
Marketing,Digital Marketing Tool,active campaign,,,,
Marketing,Digital Marketing Tool,facebook pixel,,,,
Marketing,Digital Marketing Tool,tiktok pixel,,,,
Marketing,Digital Marketing Tool,utm tracking,,,,
Marketing,Digital Marketing Tool,hotjar,,,,
Marketing,Digital Marketing Tool,crazy egg,,,,
Marketing,Digital Marketing Tool,optimizely,,,,
Marketing,Digital Marketing Tool,unbounce,,,,
Marketing,Digital Marketing Tool,clickfunnels,,,,
Marketing,Digital Marketing Tool,klaviyo,,,,
Marketing,Digital Marketing Tool,zoho campaigns,,,,
Marketing,Digital Marketing Tool,getresponse,,,,
Marketing,Digital Marketing Tool,brevo,sendinblue,,,
Marketing,Digital Marketing Tool,hubspot marketing hub,,,,
Marketing,Digital Marketing Tool,marketo,,,,
Marketing,Digital Marketing Tool,pardot,,,,
Marketing,Digital Marketing Tool,google optimize,,,,
Marketing,Digital Marketing Tool,vwo,visual website optimizer,,,
Marketing,Digital Marketing Tool,google ads certification,,,,
Marketing,Digital Marketing Tool,google analytics certification,,,,
Marketing,Digital Marketing Tool,hubspot content marketing certification,,,,
Marketing,Digital Marketing Tool,facebook blueprint certification,,,,
Marketing,Digital Marketing Tool,google skillshop,,,,
Marketing,SEO Tool,semrush,,,,
Marketing,SEO Tool,ahrefs,,,,
