industry,category,skill_name,alias1,alias2,alias3,alias4
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,bien tap vien,editor,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,phong vien,journalist,reporter,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,bien tap vien tin tuc,news editor,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,nhan vien che ban,prepress staff,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,tong bien tap,editor-in-chief,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,pho tong bien tap,deputy editor-in-chief,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,in an va sap chu,printing and typesetting,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,bien tap sach,book editing,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,kiem duyet noi dung bao chi,press content moderation,,,
PhimTruyenHinhBaoChiXuatBan,Bien tap/Viet/Xuat ban,viet tin bai,news writing,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,dien vien long tieng,voice actor,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,nguoi mau,model,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,mau anh,photo model,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,producer san xuat phim,film producer,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,hau ky san xuat,post-production,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,ky thuat vien anh sang,lighting technician,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,thiet ke my thuat san khau,stage art design,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,dan chuong trinh,mc,host,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,dao dien,director,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,phat hanh dien anh truyen hinh,film tv distribution,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,retouch anh chuyen nghiep,professional photo retouching,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,dien vien,actor,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,quan ly tro ly nghe si,artist manager assistant,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,bien dao,choreographer,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,bien kich,screenwriter,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,ky thuat vien am thanh,sound technician,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,foley sound,sound effects recording,,,
PhimTruyenHinhBaoChiXuatBan,Phim va truyen hinh,casting nghe si,talent casting,,,
PhimTruyenHinhBaoChiXuatBan,Phim/Bao chi/Xuat ban khac,chuyen mon phim truyen hinh bao chi xuat ban khac,,,,
PhimTruyenHinhBaoChiXuatBan,Phim/Bao chi/Xuat ban khac,quan ly ban quyen noi dung,content copyright management,,,
PhimTruyenHinhBaoChiXuatBan,Phim/Bao chi/Xuat ban khac,phat trien kich ban truyen hinh,tv script development,,,
