industry,category,skill_name,alias1,alias2,alias3,alias4
NhomNgheKhac,Hang hai,thuyen truong,ship captain,,,
NhomNgheKhac,Hang hai,thuy thu,sailor,,,
NhomNgheKhac,Hang hai,si quan boong,deck officer,,,
NhomNgheKhac,Hang hai,si quan may,marine engineer officer,,,
NhomNgheKhac,Hang hai,chung chi stcw,stcw certification,,,
NhomNgheKhac,Hang hai,van hanh tau bien,vessel operation,,,
NhomNgheKhac,Hang hai,an toan hang hai,maritime safety,,,
NhomNgheKhac,Hang hai,luat hang hai,maritime law,,,
NhomNgheKhac,Hang hai,quan ly cang bien,port management,,,
NhomNgheKhac,Hang hai,hoa tieu hang hai,maritime pilot,,,
NhomNgheKhac,Hang hai,dieu khien tau,ship navigation,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,quan ly du an phi loi nhuan,nonprofit project management,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,van dong tai tro,fundraising for ngo,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,viet de xuat du an,grant proposal writing,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,quan ly chuong trinh phat trien cong dong,community development program management,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,giam sat va danh gia du an,monitoring and evaluation,m&e,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,quan ly tinh nguyen vien,volunteer management,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,van dong chinh sach xa hoi,social policy advocacy,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,quan ly quan he nha tai tro,donor relations management,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,phat trien ben vung,sustainable development,,,
NhomNgheKhac,NGO/Phi chinh phu/Phi loi nhuan,ho tro nhan dao,humanitarian aid support,,,
NhomNgheKhac,Nghe khac,chuyen mon khac,,,,
NhomNgheKhac,Nghe khac,tro ly hanh chinh,administrative assistant,,,
NhomNgheKhac,Nghe khac,nhan vien van thu luu tru,records and filing clerk,,,
NhomNgheKhac,Nghe khac,le tan van phong,office receptionist,,,
