industry,category,skill_name,alias1,alias2,alias3,alias4
BanLeDichVuDoiSong,Ban le - Van hanh va Quan ly,giam sat thu ngan,cashier supervisor,,,
BanLeDichVuDoiSong,Ban le - Van hanh va Quan ly,phong chong that thoat,loss prevention,,,
BanLeDichVuDoiSong,Ban le - Van hanh va Quan ly,giam doc sieu thi,supermarket director,,,
BanLeDichVuDoiSong,Ban le - Van hanh va Quan ly,van hanh trung tam thuong mai,shopping mall operations,,,
BanLeDichVuDoiSong,Dich vu lam dep bo sung,makeup stylist,,,,
BanLeDichVuDoiSong,Dich vu lam dep bo sung,quan ly spa,spa management,,,
BanLeDichVuDoiSong,Dich vu lam dep bo sung,tro ly hoc viec lam toc,hairdressing apprentice assistant,,,
BanLeDichVuDoiSong,Dich vu lam dep bo sung,tu van phong cach ca nhan,personal styling consulting,,,
BanLeDichVuDoiSong,Dich vu cham soc suc khoe bo sung,chuyen vien vat ly tri lieu,physiotherapist,,,
BanLeDichVuDoiSong,Dich vu cham soc suc khoe bo sung,ky thuat vien cham cuu bam huyet,acupuncture acupressure technician,,,
BanLeDichVuDoiSong,Dich vu cham soc suc khoe bo sung,cham soc suc khoe tai nha,home healthcare service,,,
BanLeDichVuDoiSong,Dich vu ve sinh nha cua bo sung,sap xep tu quan ao va nha cua,professional organizing,,,
BanLeDichVuDoiSong,Dich vu ve sinh nha cua bo sung,giam sat ve sinh,cleaning supervisor,,,
BanLeDichVuDoiSong,Dich vu ve sinh nha cua bo sung,ve sinh sau xay dung,post-construction cleaning,,,
BanLeDichVuDoiSong,Dich vu o to/xe may/xe dien bo sung,quan ly cua hang sua chua bao tri o to,auto repair shop management,,,
BanLeDichVuDoiSong,Dich vu o to/xe may/xe dien bo sung,giam dinh boi thuong o to,auto insurance claims assessment,,,
BanLeDichVuDoiSong,Dich vu o to/xe may/xe dien bo sung,tho do xe,car modification technician,,,
BanLeDichVuDoiSong,Dich vu o to/xe may/xe dien bo sung,kiem dinh o to,vehicle inspection,,,
BanLeDichVuDoiSong,Dich vu o to/xe may/xe dien bo sung,dang kiem xe,vehicle registration inspection,,,
BanLeDichVuDoiSong,Dich vu thu cung,chuyen vien cham soc spa thu cung,pet grooming spa specialist,,,
BanLeDichVuDoiSong,Dich vu thu cung,bac si thu y,veterinarian,,,
BanLeDichVuDoiSong,Dich vu thu cung,huan luyen thu cung,pet training,,,
BanLeDichVuDoiSong,Dich vu thu cung,tro ly thu y,veterinary assistant,,,
BanLeDichVuDoiSong,Dich vu thu cung,kinh doanh dich vu thu cung,pet service business,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,to chuc tiec cuoi,wedding planner,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,to chuc su kien doi song,event planner,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,quan ly quan net,internet cafe management,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,chuyen vien do thi luc,optometrist,optician,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,nhan vien rap chieu phim,cinema staff,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,nhan vien cuu ho,lifeguard,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,chuyen vien dieu khien drone,drone operator,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,nhan vien pccc,fire safety staff,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,chup anh su kien,event photography,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,photographer,nhiep anh gia,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,video editor,dung phim,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,chinh sua anh,photo editing,,,
BanLeDichVuDoiSong,Ban le/Dich vu doi song khac,quan ly dich vu doi song khac,,,,
