industry,category,skill_name,alias1,alias2,alias3,alias4
Sales,Sales Skill,telesales,,,,
Sales,Sales Skill,cold calling,goi dien chao hang,,,
Sales,Sales Skill,upselling,,,,
Sales,Sales Skill,cross-selling,ban hang cheo,,,
Sales,Sales Skill,dam phan,negotiation,ky nang dam phan,,
Sales,Sales Skill,chot sale,closing deal,chot don,,
Sales,Sales Skill,cham soc khach hang,customer care,,,
Sales,Sales Skill,xay dung quan he khach hang,relationship building,,,
Sales,Sales Skill,tu van ban hang,sales consulting,,,
Sales,Sales Skill,ky nang thuyet trinh,presentation skill,,,
Sales,Sales Skill,ky nang giao tiep,communication skill,,,
Sales,Sales Skill,xu ly tu choi,objection handling,,,
Sales,Sales Skill,tim kiem khach hang tiem nang,lead generation,,,
Sales,Sales Skill,khai thac khach hang moi,prospecting,,,
Sales,Sales Skill,ban hang tu van,consultative selling,,,
Sales,Sales Skill,ban hang giai phap,solution selling,,,
Sales,Sales Skill,quan ly pipeline,pipeline management,,,
Sales,Sales Skill,du bao doanh so,sales forecasting,,,
Sales,Sales Skill,dam phan hop dong,contract negotiation,,,
Sales,Sales Skill,ky nang lang nghe khach hang,active listening,,,
Sales,Sales Skill,xay dung kich ban ban hang,sales script,,,
Sales,Sales Skill,ban hang qua dien thoai,phone sales,,,
Sales,Sales Skill,ban hang truc tiep,direct sales,,,
Sales,Sales Skill,ban hang b2b,b2b sales,,,
Sales,Sales Skill,ban hang b2c,b2c sales,,,
Sales,CRM & Sales Software,salesforce,,,,
Sales,CRM & Sales Software,hubspot,,,,
Sales,CRM & Sales Software,zoho crm,zoho,,,
Sales,CRM & Sales Software,pipedrive,,,,
Sales,CRM & Sales Software,bitrix24,,,,
Sales,CRM & Sales Software,misa crm,misa,,,
Sales,CRM & Sales Software,getfly crm,getfly,,,
Sales,CRM & Sales Software,base.vn,base crm,base,,
Sales,CRM & Sales Software,odoo crm,odoo,,,
Sales,CRM & Sales Software,amocrm,,,,
Sales,CRM & Sales Software,microsoft dynamics 365,dynamics 365,,,
Sales,CRM & Sales Software,freshsales,,,,
Sales,CRM & Sales Software,sap crm,,,,
Sales,CRM & Sales Software,oracle crm,,,,
Sales,CRM & Sales Software,insightly,,,,
Sales,Sales Admin Tool,microsoft excel,excel,,,
Sales,Sales Admin Tool,microsoft powerpoint,powerpoint,,,
Sales,Sales Admin Tool,google sheets,,,,
Sales,Sales Admin Tool,sap erp,sap,,,
Sales,Sales Admin Tool,misa amis,misa esign,,,
Sales,Sales Admin Tool,fast accounting,fast,,,
Sales,Sales Admin Tool,pos system,diem ban hang,,,
Sales,Sales Admin Tool,kiotviet,,,,
Sales,Sales Admin Tool,sapo,,,,
Sales,Sales Admin Tool,haravan,,,,
Sales,Sales Xuat nhap khau/Logistics,incoterms,,,,
Sales,Sales Xuat nhap khau/Logistics,van don,bill of lading,b/l,,
Sales,Sales Xuat nhap khau/Logistics,l/c,letter of credit,thu tin dung,,
Sales,Sales Xuat nhap khau/Logistics,khai bao hai quan,customs declaration,,,
Sales,Sales Xuat nhap khau/Logistics,forwarder,giao nhan van tai,,,
Sales,Sales Xuat nhap khau/Logistics,fcl,full container load,,,
Sales,Sales Xuat nhap khau/Logistics,lcl,less than container load,,,
Sales,Sales Xuat nhap khau/Logistics,van tai duong bien,sea freight,,,
Sales,Sales Xuat nhap khau/Logistics,van tai duong hang khong,air freight,,,
Sales,Sales Xuat nhap khau/Logistics,van tai duong bo,road freight,,,
Sales,Sales Xuat nhap khau/Logistics,kho ngoai quan,bonded warehouse,,,
Sales,Sales Xuat nhap khau/Logistics,thu tuc hai quan,customs procedure,,,
Sales,Sales Xuat nhap khau/Logistics,chung tu xuat nhap khau,export-import documents,,,
Sales,Sales Xuat nhap khau/Logistics,hop dong ngoai thuong,foreign trade contract,,,
Sales,Sales Xuat nhap khau/Logistics,thanh toan quoc te,international payment,,,
Sales,Sales Xuat nhap khau/Logistics,c/o,certificate of origin,,,
Sales,Sales Xuat nhap khau/Logistics,hs code,,,,
Sales,Sales Xuat nhap khau/Logistics,booking tau,vessel booking,,,
Sales,Sales Xuat nhap khau/Logistics,quan ly chuoi cung ung,supply chain management,,,
Sales,Sales Xuat nhap khau/Logistics,logistics 3pl,3pl,,,
Sales,Sales Xuat nhap khau/Logistics,freight forwarding,,,,
Sales,Sales Xuat nhap khau/Logistics,warehouse management,quan ly kho van,,,
Sales,Sales Xuat nhap khau/Logistics,xuat nhap khau uy thac,entrusted import-export,,,
Sales,Sales Xuat nhap khau/Logistics,van chuyen container,,,,
