industry,category,skill_name,alias1,alias2,alias3,alias4
TuVanChuyenMon,Phap ly,luat su,lawyer,,,
TuVanChuyenMon,Phap ly,tro ly phap ly,legal assistant,,,
TuVanChuyenMon,Phap ly,tu van phap ly doanh nghiep,corporate legal consulting,,,
TuVanChuyenMon,Phap ly,soan thao hop dong,contract drafting,,,
TuVanChuyenMon,Phap ly,tu van so huu tri tue,ip consulting,,,
TuVanChuyenMon,Phap ly,luat su tranh tung,litigation lawyer,,,
TuVanChuyenMon,Phap ly,luat su doanh nghiep,corporate lawyer,,,
TuVanChuyenMon,Phap ly,cong chung vien,notary,,,
TuVanChuyenMon,Phap ly,tham dinh phap ly,legal due diligence,,,
TuVanChuyenMon,Phap ly,tu van tuan thu phap luat,legal compliance consulting,,,
TuVanChuyenMon,Phap ly,luat lao dong,labor law,,,
TuVanChuyenMon,Phap ly,luat so huu tri tue,intellectual property law,,,
TuVanChuyenMon,Phap ly,paralegal,,,,
TuVanChuyenMon,Phap ly,tu van phap ly hop dong quoc te,international contract legal consulting,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng anh,english interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng han,korean interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng nhat,japanese interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng trung,chinese interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng phap,french interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich tieng duc,german interpreter,,,
TuVanChuyenMon,Phien dich/Bien dich,bien dich tai lieu,document translation,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich cabin,simultaneous interpretation,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich noi tiep,consecutive interpretation,,,
TuVanChuyenMon,Phien dich/Bien dich,phien dich hoi nghi,conference interpretation,,,
TuVanChuyenMon,Phien dich/Bien dich,chung chi bien phien dich,translation interpretation certification,,,
TuVanChuyenMon,Phien dich/Bien dich,trados,,,,
TuVanChuyenMon,Phien dich/Bien dich,memoq,,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van quan ly doanh nghiep,management consulting,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van cntt,it consultant,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van hon nhan,marriage counseling,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van chien luoc,strategy consulting,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van nhan su,hr consulting,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van headhunting,,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van tam ly,psychology counseling,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,phan tich du lieu chuyen gia,expert data analysis,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van tai co cau doanh nghiep,corporate restructuring consulting,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,xay dung business case,business case development,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,dieu phoi workshop tu van,consulting workshop facilitation,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,phong van cac ben lien quan,stakeholder interview,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van van hanh doanh nghiep,business operations consulting,,,
TuVanChuyenMon,Tu van/Phan tich chuyen mon,tu van khoi nghiep,startup consulting,,,
