industry,category,skill_name,alias1,alias2,alias3,alias4
CustomerService,Customer Service Skill,cham soc khach hang,customer care,,,
CustomerService,Customer Service Skill,customer service,dich vu khach hang,,,
CustomerService,Customer Service Skill,call center,truc tong dai,,,
CustomerService,Customer Service Skill,customer experience,trai nghiem khach hang,,,
CustomerService,Customer Service Skill,customer success,,,,
CustomerService,Customer Service Skill,truc page,,,,
CustomerService,Customer Service Skill,xu ly khieu nai khach hang,complaint handling,,,
CustomerService,Customer Service Skill,ky nang lang nghe khach hang,active listening,,,
CustomerService,Customer Service Skill,ky nang giai quyet van de,problem solving,,,
CustomerService,Customer Service Skill,kich ban cham soc khach hang,cs script,,,
CustomerService,Customer Service Skill,quan ly ticket ho tro,support ticket management,,,
CustomerService,Customer Service Skill,csat,customer satisfaction score,,,
CustomerService,Customer Service Skill,nps,net promoter score,,,
CustomerService,Customer Service Skill,sla management,,,,
CustomerService,Customer Service Skill,first call resolution,fcr,,,
CustomerService,Customer Service Skill,upsell trong cskh,,,,
CustomerService,Customer Service Skill,cross-sell trong cskh,,,,
CustomerService,Customer Service Skill,xu ly phan hoi tieu cuc,negative feedback handling,,,
CustomerService,Customer Service Skill,ho tro da kenh,omnichannel support,,,
CustomerService,Customer Service Skill,ho tro qua chat,live chat support,,,
CustomerService,Customer Service Skill,ho tro qua email,email support,,,
CustomerService,Customer Service Skill,ho tro qua dien thoai,phone support,,,
CustomerService,Customer Service Skill,quan ly cong dong khach hang,customer community management,,,
CustomerService,Customer Service Skill,xay dung quy trinh cskh,cs process design,,,
CustomerService,Customer Service Skill,dao tao doi ngu cskh,cs team training,,,
CustomerService,Customer Service Skill,phan tich hanh trinh khach hang,customer journey analysis,,,
CustomerService,Customer Service Skill,voc,voice of customer,,,
CustomerService,Customer Service Skill,churn analysis,,,,
CustomerService,Customer Service Skill,retention management,giu chan khach hang,,,
CustomerService,Customer Service Skill,xu ly tinh huong kho,difficult customer handling,,,
CustomerService,Customer Service Tool,zendesk,,,,
CustomerService,Customer Service Tool,freshdesk,,,,
CustomerService,Customer Service Tool,intercom,,,,
CustomerService,Customer Service Tool,livechat,,,,
CustomerService,Customer Service Tool,zalo oa,,,,
CustomerService,Customer Service Tool,facebook messenger business,,,,
CustomerService,Customer Service Tool,hubspot service hub,,,,
CustomerService,Customer Service Tool,salesforce service cloud,,,,
CustomerService,Customer Service Tool,helpdesk software,,,,
CustomerService,Customer Service Tool,3cx,,,,
CustomerService,Customer Service Tool,asterisk,,,,
CustomerService,Customer Service Tool,avaya,,,,
CustomerService,Customer Service Tool,cisco call center,,,,
CustomerService,Customer Service Tool,genesys,,,,
CustomerService,Customer Service Tool,crm callcenter,,,,
CustomerService,Customer Service Tool,zoho desk,,,,
CustomerService,Customer Service Tool,gorgias,,,,
CustomerService,Customer Service Tool,tidio,,,,
CustomerService,Customer Service Tool,callcenter voip,voip,,,
CustomerService,Customer Service Tool,verint,,,,
CustomerService,Customer Service Tool,nice incontact,,,,
CustomerService,Customer Service Tool,calabrio,,,,
CustomerService,Customer Service Tool,talkdesk,,,,
CustomerService,Customer Service Tool,aircall,,,,
CustomerService,Van hanh Thuong mai dien tu,van hanh san thuong mai dien tu,e-commerce operations,,,
CustomerService,Van hanh Thuong mai dien tu,shopee seller center,,,,
CustomerService,Van hanh Thuong mai dien tu,lazada seller center,,,,
CustomerService,Van hanh Thuong mai dien tu,tiktok shop seller center,,,,
