industry,category,skill_name,alias1,alias2,alias3,alias4
DuocYTeSucKhoeCNSH,Y ta/Dieu duong,y ta dieu duong,nurse,,,
DuocYTeSucKhoeCNSH,Y ta/Dieu duong,y ta truong dieu duong truong,head nurse,,,
DuocYTeSucKhoeCNSH,Y ta/Dieu duong,ho ly ho sinh,nursing aide,midwife assistant,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si ngoai khoa,surgeon,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si san khoa va phu khoa,obstetrician gynecologist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si tham my,aesthetic doctor,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si gay me hoi suc,anesthesiologist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si noi khoa,internal medicine doctor,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si tam ly,psychiatrist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si sieu am,ultrasound doctor,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si nha khoa,dentist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si nhan khoa,ophthalmologist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si tai mui hong,ent doctor,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,ky thuat vien gay me,anesthesia technician,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,quan ly y te,healthcare management,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si da lieu,dermatologist,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si nhi khoa,pediatrician,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si da khoa,general practitioner,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,bac si y hoc co truyen,traditional medicine doctor,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,ky thuat vien xet nghiem,laboratory testing technician,,,
DuocYTeSucKhoeCNSH,Bac si/Ky thuat vien,ky thuat vien chan doan hinh anh,diagnostic imaging technician,,,
DuocYTeSucKhoeCNSH,Vat ly tri lieu va cham soc suc khoe,ky thuat vien phuc hoi chuc nang,rehabilitation technician,,,
DuocYTeSucKhoeCNSH,Vat ly tri lieu va cham soc suc khoe,chuyen gia dinh duong,nutrition specialist,,,
DuocYTeSucKhoeCNSH,Vat ly tri lieu va cham soc suc khoe,quan ly suc khoe ca nhan,personal health management,,,
DuocYTeSucKhoeCNSH,Vat ly tri lieu va cham soc suc khoe,cham soc me va be,maternal and infant care,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,rd y duoc,pharmaceutical r&d,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,dang ky duoc pham,drug registration,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,quan ly cua hang thuoc,pharmacy store management,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,san xuat duoc pham,pharmaceutical manufacturing,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,ky thuat vien nuoi cay te bao,cell culture technician,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,nghien cuu sinh hoc,biological research,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,ky su bioinformatics,bioinformatics engineer,,,
DuocYTeSucKhoeCNSH,Duoc pham/Cong nghe sinh hoc,quan ly du an y duoc,pharma project management,,,
DuocYTeSucKhoeCNSH,Thiet bi y te,quan ly thiet bi y te,medical equipment management,,,
DuocYTeSucKhoeCNSH,Thiet bi y te,quan ly phong lab,lab management,,,
DuocYTeSucKhoeCNSH,Thiet bi y te,phat trien thuoc thu,reagent development,,,
DuocYTeSucKhoeCNSH,Thiet bi y te,ky thuat vien phong lab,lab technician,,,
DuocYTeSucKhoeCNSH,Duoc/Y te/Suc khoe/CNSH khac,thu nghiem lam sang,clinical trials,,,
DuocYTeSucKhoeCNSH,Duoc/Y te/Suc khoe/CNSH khac,chuyen mon duoc y te suc khoe cnsh khac,,,,
