industry,category,skill_name,alias1,alias2,alias3,alias4
LaoDongPhoThong,Cong nhan,cong nhan may,,,,
LaoDongPhoThong,Cong nhan,cong nhan thoi vu,,,,
LaoDongPhoThong,Cong nhan,cong nhan dong goi hang hoa,,,,
LaoDongPhoThong,Cong nhan,cong nhan chan nuoi,,,,
LaoDongPhoThong,Cong nhan,cong nhan bao bi,,,,
LaoDongPhoThong,Cong nhan,cong nhan ep nhua,,,,
LaoDongPhoThong,Cong nhan,cong nhan khai thac than,,,,
LaoDongPhoThong,Cong nhan,cong nhan co khi,,,,
LaoDongPhoThong,Cong nhan,cong nhan boc xep hang hoa,,,,
LaoDongPhoThong,Cong nhan,cong nhan moi truong,,,,
LaoDongPhoThong,Cong nhan,cong nhan lam nuoc da,,,,
LaoDongPhoThong,Cong nhan,cong nhan san xuat,,,,
LaoDongPhoThong,Cong nhan,cong nhan van hanh may,,,,
LaoDongPhoThong,Cong nhan,cong nhan lap rap,,,,
LaoDongPhoThong,Cong nhan,cong nhan xay dung,,,,
LaoDongPhoThong,Cong nhan,cong nhan xuong go,,,,
LaoDongPhoThong,Cong nhan,cong nhan dien tu,,,,
LaoDongPhoThong,Cong nhan,cong nhan giay da,,,,
LaoDongPhoThong,Cong nhan,cong nhan xep quan ao,,,,
LaoDongPhoThong,Cong nhan,van hanh may ep nhua,injection molding machine operation,,,
LaoDongPhoThong,Cong nhan,van hanh day chuyen san xuat,production line operation,,,
LaoDongPhoThong,Cong nhan,kiem tra chat luong san pham,qc line,,,
LaoDongPhoThong,Cong nhan,dong goi san pham,product packaging,,,
LaoDongPhoThong,Cong nhan,van hanh may dong goi,packing machine operation,,,
LaoDongPhoThong,Cong nhan,su dung may may cong nghiep,industrial sewing machine,,,
LaoDongPhoThong,Cong nhan,cat may cong nghiep,,,,
LaoDongPhoThong,Cong nhan,ui la cong nghiep,,,,
LaoDongPhoThong,Cong nhan,lap rap linh kien dien tu,electronic component assembly,,,
LaoDongPhoThong,Cong nhan,van hanh may cnc co ban,,,,
LaoDongPhoThong,Cong nhan,doc ban ve ky thuat co ban,,,,
LaoDongPhoThong,Cong nhan,an toan lao dong,occupational safety,,,
LaoDongPhoThong,Cong nhan,5s,,,,
LaoDongPhoThong,Cong nhan,kaizen san xuat,,,,
LaoDongPhoThong,Cong nhan,lam viec theo ca,shift work,,,
LaoDongPhoThong,Tai xe,gplx hang b2,,,,
LaoDongPhoThong,Tai xe,gplx hang c,,,,
LaoDongPhoThong,Tai xe,gplx hang d,,,,
LaoDongPhoThong,Tai xe,gplx hang e,,,,
LaoDongPhoThong,Tai xe,gplx hang fc,,,,
LaoDongPhoThong,Tai xe,tai xe taxi,,,,
LaoDongPhoThong,Tai xe,tai xe cong nghe,,,,
LaoDongPhoThong,Tai xe,tai xe xe khach,,,,
LaoDongPhoThong,Tai xe,tai xe container,,,,
LaoDongPhoThong,Tai xe,lai xe nang,forklift driving,,,
LaoDongPhoThong,Tai xe,chung chi lai xe nang,forklift certification,,,
LaoDongPhoThong,Tai xe,tai xe xe tai,,,,
LaoDongPhoThong,Tai xe,lai xe cho sep,personal driver,,,
LaoDongPhoThong,Tai xe,lai xe van phong,,,,
LaoDongPhoThong,Tai xe,lai xe duong dai,long-haul driving,,,
LaoDongPhoThong,Tai xe,phu xe,,,,
LaoDongPhoThong,Tai xe,bao duong xe co ban,basic vehicle maintenance,,,
LaoDongPhoThong,Tai xe,su dung gps dieu huong,gps navigation,,,
LaoDongPhoThong,Tai xe,lai xe an toan,defensive driving,,,
LaoDongPhoThong,Tai xe,chung chi van tai hang hoa,cargo transport certification,,,
LaoDongPhoThong,Kho van/Giao hang,nhan vien kho,warehouse staff,,,
LaoDongPhoThong,Kho van/Giao hang,shipper,nhan vien giao hang,,,
LaoDongPhoThong,Kho van/Giao hang,phan loai hang hoa,sorting,,,
LaoDongPhoThong,Kho van/Giao hang,sap xep hang hoa,warehouse arrangement,,,
LaoDongPhoThong,Kho van/Giao hang,buu ta,,,,
LaoDongPhoThong,Kho van/Giao hang,van hanh xe nang tay,hand pallet truck operation,,,
LaoDongPhoThong,Kho van/Giao hang,quan ly xuat nhap kho,warehouse in-out management,,,
LaoDongPhoThong,Kho van/Giao hang,kiem dem hang hoa,goods counting,,,
LaoDongPhoThong,Kho van/Giao hang,dong goi hang van chuyen,shipping packaging,,,
LaoDongPhoThong,Kho van/Giao hang,su dung may quet ma vach,barcode scanner,,,
LaoDongPhoThong,Kho van/Giao hang,giao hang nhanh,express delivery,,,
LaoDongPhoThong,Kho van/Giao hang,giao hang cong nghe,app-based delivery,,,
LaoDongPhoThong,Kho van/Giao hang,soan hang,order picking,,,
LaoDongPhoThong,Kho van/Giao hang,dan nhan hang hoa,labeling goods,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,bao ve,security guard,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua dien thoai,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,tho sua khoa,locksmith,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,nhan vien rua xe,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,lap dat bao tri thang may,elevator installation maintenance,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,tho dien,electrician,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua may tinh,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua may in,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua bao tri dien nuoc,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,tho dien lanh,hvac technician,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,bao tri toa nha,building maintenance,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,tho sua xe may,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,tho sua xe o to,,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,ky thuat vien bao tri,maintenance technician,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua dieu hoa,ac repair,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua tu lanh,refrigerator repair,,,
LaoDongPhoThong,Bao ve/Bao tri/Sua chua,sua chua may giat,washing machine repair,,,
