industry,category,skill_name,alias1,alias2,alias3,alias4
BienPhienDich,Bien phien dich,bien phien dich tieng nga,russian translator interpreter,,,
BienPhienDich,Bien phien dich,bien phien dich tieng tay ban nha,spanish translator interpreter,,,
BienPhienDich,Bien phien dich,bien phien dich da ngon ngu,multilingual translator interpreter,,,
BienPhienDich,Bien phien dich,bien phien dich ngon ngu khac,other language translator interpreter,,,
BienPhienDich,Bien phien dich,tu van dich thuat,translation consulting,,,
BienPhienDich,Bien phien dich,bien dich vien,translator,,,
BienPhienDich,Bien phien dich,phien dich vien,interpreter,,,
BienPhienDich,Bien phien dich,dich thuat cong chung,notarized translation,,,
BienPhienDich,Bien phien dich,dich thuat chuyen nganh,specialized technical translation,,,
BienPhienDich,Bien phien dich,wordfast,,,,
